Year,MonthNum,Date,fuel_group,new_private_cars
2022,7,2022-07-01,Battery Electric (BEV),1796.0
2022,7,2022-07-01,Diesel,4199.0
2022,7,2022-07-01,Hybrid (HEV),3150.0
2022,7,2022-07-01,Other,56.0
2022,7,2022-07-01,Petrol,4852.0
2022,7,2022-07-01,Plug-in Hybrid (PHEV),1025.0
2022,8,2022-08-01,Plug-in Hybrid (PHEV),651.0
2022,8,2022-08-01,Petrol,3125.0
2022,8,2022-08-01,Other,19.0
2022,8,2022-08-01,Hybrid (HEV),1168.0
2022,8,2022-08-01,Diesel,2466.0
2022,8,2022-08-01,Battery Electric (BEV),1513.0
2022,9,2022-09-01,Battery Electric (BEV),1888.0
2022,9,2022-09-01,Diesel,1716.0
2022,9,2022-09-01,Hybrid (HEV),725.0
2022,9,2022-09-01,Other,7.0
2022,9,2022-09-01,Petrol,2473.0
2022,9,2022-09-01,Plug-in Hybrid (PHEV),506.0
2022,10,2022-10-01,Petrol,1512.0
2022,10,2022-10-01,Other,3.0
2022,10,2022-10-01,Plug-in Hybrid (PHEV),271.0
2022,10,2022-10-01,Diesel,1196.0
2022,10,2022-10-01,Battery Electric (BEV),1201.0
