AtcoCode,CommonName,Street,stop_category,StopType,Latitude,Longitude,Easting,Northing,AdministrativeAreaRef,Status
8360B603511,Ieverstown,R462,Bus stop,BCT,52.742359,-8.772364,547847,665978,836,active
8360B603521,Mount Ievers,R462,Bus stop,BCT,52.746213,-8.77412,547733,666408,836,active
8360B603531,Mount Ievers,R462,Bus stop,BCT,52.745951,-8.773736,547759,666379,836,active
8360LL12294,Mill Road,Old Mill Street,Bus stop,BCT,52.844007,-8.9888877,533383,677466,836,active
8360LL12295,Quin Road Business Park,,Bus stop,BCT,52.835777,-8.971739,534526,676535,836,active
8360LL12296,Ballycorick,,Bus stop,BCT,52.733471,-9.0617992,528290,665238,836,active
8360LL12297,Kilmurry McMahon,,Bus stop,BCT,52.6528416,-9.3027414,511856,656535,836,active
8360LL12298,Labasheeda,,Bus stop,BCT,52.6202754,-9.2557255,514973,652856,836,active
8360LL12354,Rosslevan,Tulla Road,Bus stop,BCT,52.856874,-8.950868,535963,678863,836,active
8360LL12355,Corrovorrin,Tulla Road,Bus stop,BCT,52.853753,-8.971672,534557,678535,836,active
8360LL12356,Corrovorrin,Tulla Road,Bus stop,BCT,52.853485,-8.972061,534530,678505,836,active
8360LL12357,Drewsborough,,Bus stop,BCT,52.902071,-8.539617,563696,683605,836,active
8360B12407,Ballyvaughan Pier,,Bus stop,BCT,53.1196,-9.15381,522766,708294,836,active
8360B12408,Ballyvaughan Pier,,Bus stop,BCT,53.11933,-9.15368,522774,708264,836,active
8360LL12619,Parkroe,,Bus stop,BCT,52.713275,-8.603119,559248,662633,836,active
8360LL12620,Parkroe,,Bus stop,BCT,52.712887,-8.603201,559242,662590,836,active
8360GA12763,Shannon Airport Check-in,,Other,AIR,52.69244,-8.92157,537702,660543,836,active
8360GA12778,Shannon Airport,,Other,GAT,52.69278,-8.92075,537757,660580,836,active
8360PB12967,Clareabbey (Event Stop),,Bus stop,BCT,52.8241,-8.97716,534143,675241,836,active
8360LL13076,Ballyryan,,Bus stop,BCT,53.06091,-9.36223,508691,702009,836,active
8360LL13077,Ballyryan,,Bus stop,BCT,53.06075,-9.36209,508700,701991,836,active
8360LL13078,Blackwater,,Bus stop,BCT,52.71009,-8.60371,559205,662279,836,active
8360LL13079,Blackwater,,Bus stop,BCT,52.71026,-8.60325,559236,662298,836,active
8360LL13719,Aillwee,,Bus stop,BCT,53.08936,-9.1439,523376,704919,836,active
8360LL13720,Burren National Park,,Bus stop,BCT,52.99685,-9.03728,530368,694517,836,active
8360LL13721,Caherconnell,,Bus stop,BCT,53.04194,-9.13722,523739,699636,836,active
8360LL13722,Caherconnell,,Bus stop,BCT,53.04196,-9.13712,523746,699638,836,active
8360LL13723,Carran,,Bus stop,BCT,53.03541,-9.07668,527788,698847,836,active
8360LL13724,Carran,,Bus stop,BCT,53.03541,-9.07688,527775,698847,836,active
8360LL13725,Corofin,,Bus stop,BCT,52.94498,-9.06289,528564,688772,836,active
8360LL13726,Keelhilla,,Bus stop,BCT,53.07413,-8.98991,533667,703071,836,active
8360LL13727,Michael Cusack Centre,,Bus stop,BCT,53.01905,-9.08584,527146,697036,836,active
8360LL13728,Miltown Malbay GAA,Bog Road,Bus stop,BCT,52.85317,-9.40829,505151,678957,836,active
8360LL13729,Poulnabrone,,Bus stop,BCT,53.04693,-9.1409,523501,700195,836,active
8360LL13730,Poulnabrone,,Bus stop,BCT,53.0469,-9.14107,523490,700192,836,active
8360LL13731,Slieve Carran,,Bus stop,BCT,53.07627,-8.99876,533077,703317,836,active
8360LL13732,The Pavilion,,Bus stop,BCT,53.02608,-9.28991,513469,698045,836,active
8360LL14218,Gleninagh Pier,,Bus stop,BCT,53.13918,-9.2232,518159,710550,836,active
8360LL14223,Gleninagh Pier,,Bus stop,BCT,53.13906,-9.22316,518161,710536,836,active
8360PB14769,Clarecastle,,Bus stop,BCT,52.81459,-8.96675,534830,674173,836,active
8360PB14770,Clarecastle,Barrack Street,Bus stop,BCT,52.81447,-8.96549,534915,674159,836,active
8360PB14771,Westfields,Banner Court,Bus stop,BCT,52.82958,-8.9795,533993,675852,836,active
8360PB14772,Saint Flannan's Terrace,Clon Road,Bus stop,BCT,52.83709,-8.98136,533879,676690,836,active
8360PB14773,Saint Michael's Villas,Clon Road,Bus stop,BCT,52.83923,-8.97859,534069,676925,836,active
8360PB14774,Station Road,Station Road,Bus stop,BCT,52.8407,-8.97967,533999,677090,836,active
8360PB14775,Páirc Chíosóg,,Bus stop,BCT,52.84626,-8.97605,534251,677705,836,active
8360PB14776,Fergus Lawn,Lifford Road,Bus stop,BCT,52.8513,-8.9736,534424,678264,836,active
8360PB14777,Ennis Hospital,,Bus stop,BCT,52.85124,-8.98207,533853,678265,836,active
8360PB14778,Drumcliff Road,Gort Road,Bus stop,BCT,52.85371,-8.98333,533772,678541,836,active
8360PB14779,Fíoruisce,Gort Road,Bus stop,BCT,52.85864,-8.98269,533822,679089,836,active
8360PB14780,Gort Road Business Park,,Bus stop,BCT,52.86194,-8.9813,533921,679454,836,active
8360PB14781,Dulick,,Bus stop,BCT,52.86451,-8.98057,533974,679740,836,active
8360PB14782,Ballycorey,,Bus stop,BCT,52.86885,-8.976,534288,680218,836,active
8360PB14783,Ballymaley,,Bus stop,BCT,52.87312,-8.96446,535072,680683,836,active
8360PB14784,Ballymaley,,Bus stop,BCT,52.873,-8.96438,535077,680670,836,active
8360PB14785,Ballycorey,Gort Road,Bus stop,BCT,52.86887,-8.97534,534333,680220,836,active
8360PB14786,Dulick,Gort Road,Bus stop,BCT,52.86431,-8.98047,533981,679717,836,active
8360PB14787,Gort Road Business Park,Gort Road,Bus stop,BCT,52.86182,-8.98117,533930,679441,836,active
8360PB14788,Fíoruisce,Gort Road,Bus stop,BCT,52.85743,-8.98301,533799,678954,836,active
8360PB14789,Drumcliff Road,Gort Road,Bus stop,BCT,52.8531,-8.9829,533800,678472,836,active
8360PB14790,Fergus Lawn,Clon Road,Bus stop,BCT,52.85055,-8.97281,534476,678179,836,active
8360PB14791,Knox's Bridge,Clon Road,Bus stop,BCT,52.84851,-8.97259,534487,677952,836,active
8360PB14792,Páirc Chíosóg,Francis Street,Bus stop,BCT,52.84575,-8.97725,534169,677649,836,active
8360PB14793,Station Road,Station Road,Bus stop,BCT,52.84081,-8.97955,534007,677102,836,active
8360PB14794,Saint Michael's Villas,Clon Road,Bus stop,BCT,52.83866,-8.97881,534053,676862,836,active
8360PB14795,Saint Flannan's College,Limerick Road,Bus stop,BCT,52.83334,-8.98127,533880,676272,836,active
8360PB14796,Westfields,Limerick Road,Bus stop,BCT,52.8292,-8.97924,534010,675810,836,active
8360PB14797,Knockanean,Tulla Road,Bus stop,BCT,52.85895,-8.93981,536710,679084,836,active
8360PB14798,College Green,Springfield,Bus stop,BCT,52.8304,-8.98798,533423,675951,836,active
8360PB14799,Cahercalla,,Bus stop,BCT,52.83349,-8.9928,533103,676300,836,active
8360PB14800,Dalcassian Drive,Kilrush Road,Bus stop,BCT,52.84006,-8.98704,533501,677025,836,active
8360PB14801,Carmody Street,Carmody Street,Bus stop,BCT,52.84271,-8.98749,533475,677321,836,active
8360PB14802,Circular Road,Circular Road,Bus stop,BCT,52.8461,-8.99039,533285,677700,836,active
8360PB14803,Cloughleigh Road,,Bus stop,BCT,52.84781,-8.99354,533075,677894,836,active
8360PB14804,Lahinch Road,Lahinch Road,Bus stop,BCT,52.85008,-8.99895,532714,678151,836,active
8360PB14805,Claureen,Shanaway Road,Bus stop,BCT,52.85061,-9.00463,532332,678216,836,active
8360PB14806,Woodview,Shanaway Road,Bus stop,BCT,52.85009,-9.00802,532103,678161,836,active
8360PB14807,Aisling,Shanaway Road,Bus stop,BCT,52.84803,-9.01109,531893,677935,836,active
8360PB14808,Shanvogh,Shanaway Road,Bus stop,BCT,52.846,-9.01685,531502,677714,836,active
8360PB14809,Kilnacally,Shanaway Road,Bus stop,BCT,52.84368,-9.02216,531141,677461,836,active
8360PB14810,Kilnacally,Shanaway Road,Bus stop,BCT,52.844,-9.02171,531172,677496,836,active
8360PB14811,Shanvogh,Shanaway Road,Bus stop,BCT,52.84603,-9.017,531492,677718,836,active
8360PB14812,Aisling,Shanaway Road,Bus stop,BCT,52.84803,-9.01134,531876,677935,836,active
8360PB14813,Woodview,Shanaway Road,Bus stop,BCT,52.8502,-9.00755,532135,678173,836,active
8360PB14814,Claureen,Shanaway Road,Bus stop,BCT,52.85088,-9.00431,532354,678245,836,active
8360PB14815,Lahinch Road,,Bus stop,BCT,52.85009,-8.99752,532811,678151,836,active
8360PB14816,Cloughleigh Road,Cloughleigh Road,Bus stop,BCT,52.8477,-8.99307,533107,677881,836,active
8360PB14817,Circular Road,,Bus stop,BCT,52.84623,-8.98978,533326,677714,836,active
8360PB14818,Carmody Street,Carmody Street,Bus stop,BCT,52.8431,-8.98762,533467,677364,836,active
8360PB14819,Dalcassian Drive,Kilrush Road,Bus stop,BCT,52.84001,-8.98692,533509,677020,836,active
8360PB14820,Collins Park,Kilrush Road,Bus stop,BCT,52.8368,-8.98932,533343,676665,836,active
