Statistic Label,Year,Fuel Type,County of Ownership,Type of Vehicle,Year of Registration,UNIT,VALUE
Vehicle Population,2018,Petrol,Co. Galway,Exempt vehicles,All years,Number,329
Vehicle Population,2018,Petrol,Co. Galway,Other vehicles,All years,Number,1035
Vehicle Population,2018,Petrol,Co. Leitrim,Private cars,All years,Number,4960
Vehicle Population,2018,Petrol,Co. Leitrim,Goods vehicles,All years,Number,2
Vehicle Population,2018,Petrol,Co. Leitrim,Motor cycles,All years,Number,160
Vehicle Population,2018,Petrol,Co. Leitrim,Tractors & Machinery,All years,Number,0
Vehicle Population,2018,Petrol,Co. Leitrim,Small PSVs,All years,Number,0
Vehicle Population,2018,Petrol,Co. Leitrim,Large PSVs,All years,Number,1
Vehicle Population,2018,Petrol,Co. Leitrim,Exempt vehicles,All years,Number,53
Vehicle Population,2018,Petrol,Co. Leitrim,Other vehicles,All years,Number,192
Vehicle Population,2018,Petrol,Co. Mayo,Private cars,All years,Number,22404
Vehicle Population,2018,Petrol,Co. Mayo,Goods vehicles,All years,Number,17
Vehicle Population,2018,Petrol,Co. Mayo,Motor cycles,All years,Number,604
Vehicle Population,2018,Petrol,Co. Mayo,Tractors & Machinery,All years,Number,11
Vehicle Population,2018,Petrol,Co. Mayo,Small PSVs,All years,Number,20
Vehicle Population,2018,Petrol,Co. Mayo,Large PSVs,All years,Number,0
Vehicle Population,2018,Petrol,Co. Mayo,Exempt vehicles,All years,Number,199
Vehicle Population,2018,Petrol,Co. Mayo,Other vehicles,All years,Number,497
Vehicle Population,2018,Petrol,Co. Roscommon,Private cars,All years,Number,11970
Vehicle Population,2018,Petrol,Co. Roscommon,Goods vehicles,All years,Number,11
Vehicle Population,2018,Petrol,Co. Roscommon,Motor cycles,All years,Number,292
Vehicle Population,2018,Petrol,Co. Roscommon,Tractors & Machinery,All years,Number,2
Vehicle Population,2018,Petrol,Co. Roscommon,Small PSVs,All years,Number,3
Vehicle Population,2018,Petrol,Co. Roscommon,Large PSVs,All years,Number,0
Vehicle Population,2018,Petrol,Co. Roscommon,Exempt vehicles,All years,Number,72
