Statistic Label,Year,Fuel Type,County of Ownership,Type of Vehicle,Year of Registration,UNIT,VALUE
Average Kilometres Travelled,2023,Petrol,Co. Kildare,Other vehicles,All years,Kilometres,3512
Average Kilometres Travelled,2023,Petrol,Co. Kilkenny,Private cars,All years,Kilometres,12036
Average Kilometres Travelled,2023,Petrol,Co. Kilkenny,Goods vehicles,All years,Kilometres,13358
Average Kilometres Travelled,2023,Petrol,Co. Kilkenny,Motor cycles,All years,Kilometres,2569
Average Kilometres Travelled,2023,Petrol,Co. Kilkenny,Tractors & Machinery,All years,Kilometres,18758
Average Kilometres Travelled,2023,Petrol,Co. Kilkenny,Small PSVs,All years,Kilometres,23061
Average Kilometres Travelled,2023,Petrol,Co. Kilkenny,Large PSVs,All years,Kilometres,0
Average Kilometres Travelled,2023,Petrol,Co. Kilkenny,Exempt vehicles,All years,Kilometres,11947
Average Kilometres Travelled,2023,Petrol,Co. Kilkenny,Other vehicles,All years,Kilometres,3335
Average Kilometres Travelled,2023,Petrol,Co. Laois,Private cars,All years,Kilometres,12301
Average Kilometres Travelled,2023,Petrol,Co. Laois,Goods vehicles,All years,Kilometres,16161
Average Kilometres Travelled,2023,Petrol,Co. Laois,Motor cycles,All years,Kilometres,2604
Average Kilometres Travelled,2023,Petrol,Co. Laois,Tractors & Machinery,All years,Kilometres,13638
Average Kilometres Travelled,2023,Petrol,Co. Laois,Small PSVs,All years,Kilometres,43145
Average Kilometres Travelled,2023,Petrol,Co. Laois,Large PSVs,All years,Kilometres,0
Average Kilometres Travelled,2023,Petrol,Co. Laois,Exempt vehicles,All years,Kilometres,14028
Average Kilometres Travelled,2023,Petrol,Co. Laois,Other vehicles,All years,Kilometres,3403
Average Kilometres Travelled,2023,Petrol,Co. Longford,Private cars,All years,Kilometres,12382
Average Kilometres Travelled,2023,Petrol,Co. Longford,Goods vehicles,All years,Kilometres,20956
Average Kilometres Travelled,2023,Petrol,Co. Longford,Motor cycles,All years,Kilometres,2639
Average Kilometres Travelled,2023,Petrol,Co. Longford,Tractors & Machinery,All years,Kilometres,19410
Average Kilometres Travelled,2023,Petrol,Co. Longford,Small PSVs,All years,Kilometres,32268
Average Kilometres Travelled,2023,Petrol,Co. Longford,Large PSVs,All years,Kilometres,0
Average Kilometres Travelled,2023,Petrol,Co. Longford,Exempt vehicles,All years,Kilometres,14642
Average Kilometres Travelled,2023,Petrol,Co. Longford,Other vehicles,All years,Kilometres,3144
Average Kilometres Travelled,2023,Petrol,Co. Louth,Private cars,All years,Kilometres,11480
Average Kilometres Travelled,2023,Petrol,Co. Louth,Goods vehicles,All years,Kilometres,18252
Average Kilometres Travelled,2023,Petrol,Co. Louth,Motor cycles,All years,Kilometres,2670
Average Kilometres Travelled,2023,Petrol,Co. Louth,Tractors & Machinery,All years,Kilometres,8647
Average Kilometres Travelled,2023,Petrol,Co. Louth,Small PSVs,All years,Kilometres,20464
Average Kilometres Travelled,2023,Petrol,Co. Louth,Large PSVs,All years,Kilometres,0
Average Kilometres Travelled,2023,Petrol,Co. Louth,Exempt vehicles,All years,Kilometres,11768
Average Kilometres Travelled,2023,Petrol,Co. Louth,Other vehicles,All years,Kilometres,3277
Average Kilometres Travelled,2023,Petrol,Co. Meath,Private cars,All years,Kilometres,12139
Average Kilometres Travelled,2023,Petrol,Co. Meath,Goods vehicles,All years,Kilometres,18789
Average Kilometres Travelled,2023,Petrol,Co. Meath,Motor cycles,All years,Kilometres,2690
Average Kilometres Travelled,2023,Petrol,Co. Meath,Tractors & Machinery,All years,Kilometres,18638
Average Kilometres Travelled,2023,Petrol,Co. Meath,Small PSVs,All years,Kilometres,31833
Average Kilometres Travelled,2023,Petrol,Co. Meath,Large PSVs,All years,Kilometres,0
Average Kilometres Travelled,2023,Petrol,Co. Meath,Exempt vehicles,All years,Kilometres,12384
Average Kilometres Travelled,2023,Petrol,Co. Meath,Other vehicles,All years,Kilometres,3289
Average Kilometres Travelled,2023,Petrol,Co. Offaly,Private cars,All years,Kilometres,12261
Average Kilometres Travelled,2023,Petrol,Co. Offaly,Goods vehicles,All years,Kilometres,16954
Average Kilometres Travelled,2023,Petrol,Co. Offaly,Motor cycles,All years,Kilometres,2580
Average Kilometres Travelled,2023,Petrol,Co. Offaly,Tractors & Machinery,All years,Kilometres,19242
Average Kilometres Travelled,2023,Petrol,Co. Offaly,Small PSVs,All years,Kilometres,23992
Average Kilometres Travelled,2023,Petrol,Co. Offaly,Large PSVs,All years,Kilometres,0
Average Kilometres Travelled,2023,Petrol,Co. Offaly,Exempt vehicles,All years,Kilometres,15684
Average Kilometres Travelled,2023,Petrol,Co. Offaly,Other vehicles,All years,Kilometres,3423
Average Kilometres Travelled,2023,Petrol,Co. Westmeath,Private cars,All years,Kilometres,12077
Average Kilometres Travelled,2023,Petrol,Co. Westmeath,Goods vehicles,All years,Kilometres,18371
Average Kilometres Travelled,2023,Petrol,Co. Westmeath,Motor cycles,All years,Kilometres,2615
Average Kilometres Travelled,2023,Petrol,Co. Westmeath,Tractors & Machinery,All years,Kilometres,6410
Average Kilometres Travelled,2023,Petrol,Co. Westmeath,Small PSVs,All years,Kilometres,43196
Average Kilometres Travelled,2023,Petrol,Co. Westmeath,Large PSVs,All years,Kilometres,0
Average Kilometres Travelled,2023,Petrol,Co. Westmeath,Exempt vehicles,All years,Kilometres,13263
Average Kilometres Travelled,2023,Petrol,Co. Westmeath,Other vehicles,All years,Kilometres,3260
Average Kilometres Travelled,2023,Petrol,Co. Wexford,Private cars,All years,Kilometres,12237
Average Kilometres Travelled,2023,Petrol,Co. Wexford,Goods vehicles,All years,Kilometres,17226
Average Kilometres Travelled,2023,Petrol,Co. Wexford,Motor cycles,All years,Kilometres,2571
Average Kilometres Travelled,2023,Petrol,Co. Wexford,Tractors & Machinery,All years,Kilometres,20915
Average Kilometres Travelled,2023,Petrol,Co. Wexford,Small PSVs,All years,Kilometres,25117
Average Kilometres Travelled,2023,Petrol,Co. Wexford,Large PSVs,All years,Kilometres,0
Average Kilometres Travelled,2023,Petrol,Co. Wexford,Exempt vehicles,All years,Kilometres,12363
Average Kilometres Travelled,2023,Petrol,Co. Wexford,Other vehicles,All years,Kilometres,3259
Average Kilometres Travelled,2023,Petrol,Co. Wicklow,Private cars,All years,Kilometres,11435
Average Kilometres Travelled,2023,Petrol,Co. Wicklow,Goods vehicles,All years,Kilometres,15108
Average Kilometres Travelled,2023,Petrol,Co. Wicklow,Motor cycles,All years,Kilometres,2610
Average Kilometres Travelled,2023,Petrol,Co. Wicklow,Tractors & Machinery,All years,Kilometres,20536
Average Kilometres Travelled,2023,Petrol,Co. Wicklow,Small PSVs,All years,Kilometres,38461
Average Kilometres Travelled,2023,Petrol,Co. Wicklow,Large PSVs,All years,Kilometres,0
Average Kilometres Travelled,2023,Petrol,Co. Wicklow,Exempt vehicles,All years,Kilometres,11563
Average Kilometres Travelled,2023,Petrol,Co. Wicklow,Other vehicles,All years,Kilometres,3332
Average Kilometres Travelled,2023,Petrol,Co. Clare,Private cars,All years,Kilometres,12297
Average Kilometres Travelled,2023,Petrol,Co. Clare,Goods vehicles,All years,Kilometres,15963
Average Kilometres Travelled,2023,Petrol,Co. Clare,Motor cycles,All years,Kilometres,2621
Average Kilometres Travelled,2023,Petrol,Co. Clare,Tractors & Machinery,All years,Kilometres,17462
Average Kilometres Travelled,2023,Petrol,Co. Clare,Small PSVs,All years,Kilometres,31118
Average Kilometres Travelled,2023,Petrol,Co. Clare,Large PSVs,All years,Kilometres,0
Average Kilometres Travelled,2023,Petrol,Co. Clare,Exempt vehicles,All years,Kilometres,12675
Average Kilometres Travelled,2023,Petrol,Co. Clare,Other vehicles,All years,Kilometres,3371
Average Kilometres Travelled,2023,Petrol,Co. Cork,Private cars,All years,Kilometres,11292
Average Kilometres Travelled,2023,Petrol,Co. Cork,Goods vehicles,All years,Kilometres,16520
Average Kilometres Travelled,2023,Petrol,Co. Cork,Motor cycles,All years,Kilometres,2614
Average Kilometres Travelled,2023,Petrol,Co. Cork,Tractors & Machinery,All years,Kilometres,13317
Average Kilometres Travelled,2023,Petrol,Co. Cork,Small PSVs,All years,Kilometres,32456
Average Kilometres Travelled,2023,Petrol,Co. Cork,Large PSVs,All years,Kilometres,0
Average Kilometres Travelled,2023,Petrol,Co. Cork,Exempt vehicles,All years,Kilometres,12043
Average Kilometres Travelled,2023,Petrol,Co. Cork,Other vehicles,All years,Kilometres,3266
Average Kilometres Travelled,2023,Petrol,Co. Kerry,Private cars,All years,Kilometres,11787
Average Kilometres Travelled,2023,Petrol,Co. Kerry,Goods vehicles,All years,Kilometres,16842
Average Kilometres Travelled,2023,Petrol,Co. Kerry,Motor cycles,All years,Kilometres,2599
Average Kilometres Travelled,2023,Petrol,Co. Kerry,Tractors & Machinery,All years,Kilometres,16783
Average Kilometres Travelled,2023,Petrol,Co. Kerry,Small PSVs,All years,Kilometres,31993
Average Kilometres Travelled,2023,Petrol,Co. Kerry,Large PSVs,All years,Kilometres,0
Average Kilometres Travelled,2023,Petrol,Co. Kerry,Exempt vehicles,All years,Kilometres,12657
Average Kilometres Travelled,2023,Petrol,Co. Kerry,Other vehicles,All years,Kilometres,3300
Average Kilometres Travelled,2023,Petrol,Co. Limerick,Private cars,All years,Kilometres,11624
Average Kilometres Travelled,2023,Petrol,Co. Limerick,Goods vehicles,All years,Kilometres,23729
Average Kilometres Travelled,2023,Petrol,Co. Limerick,Motor cycles,All years,Kilometres,2583
Average Kilometres Travelled,2023,Petrol,Co. Limerick,Tractors & Machinery,All years,Kilometres,11272
Average Kilometres Travelled,2023,Petrol,Co. Limerick,Small PSVs,All years,Kilometres,33758
Average Kilometres Travelled,2023,Petrol,Co. Limerick,Large PSVs,All years,Kilometres,0
Average Kilometres Travelled,2023,Petrol,Co. Limerick,Exempt vehicles,All years,Kilometres,11259
Average Kilometres Travelled,2023,Petrol,Co. Limerick,Other vehicles,All years,Kilometres,3316
Average Kilometres Travelled,2023,Petrol,Co. Tipperary,Private cars,All years,Kilometres,12041
Average Kilometres Travelled,2023,Petrol,Co. Tipperary,Goods vehicles,All years,Kilometres,14621
Average Kilometres Travelled,2023,Petrol,Co. Tipperary,Motor cycles,All years,Kilometres,2577
Average Kilometres Travelled,2023,Petrol,Co. Tipperary,Tractors & Machinery,All years,Kilometres,18501
Average Kilometres Travelled,2023,Petrol,Co. Tipperary,Small PSVs,All years,Kilometres,38259
Average Kilometres Travelled,2023,Petrol,Co. Tipperary,Large PSVs,All years,Kilometres,0
Average Kilometres Travelled,2023,Petrol,Co. Tipperary,Exempt vehicles,All years,Kilometres,14275
Average Kilometres Travelled,2023,Petrol,Co. Tipperary,Other vehicles,All years,Kilometres,3262
Average Kilometres Travelled,2023,Petrol,Co. Waterford,Private cars,All years,Kilometres,11605
Average Kilometres Travelled,2023,Petrol,Co. Waterford,Goods vehicles,All years,Kilometres,14320
Average Kilometres Travelled,2023,Petrol,Co. Waterford,Motor cycles,All years,Kilometres,2587
Average Kilometres Travelled,2023,Petrol,Co. Waterford,Tractors & Machinery,All years,Kilometres,11524
Average Kilometres Travelled,2023,Petrol,Co. Waterford,Small PSVs,All years,Kilometres,27700
Average Kilometres Travelled,2023,Petrol,Co. Waterford,Large PSVs,All years,Kilometres,25268
Average Kilometres Travelled,2023,Petrol,Co. Waterford,Exempt vehicles,All years,Kilometres,11679
Average Kilometres Travelled,2023,Petrol,Co. Waterford,Other vehicles,All years,Kilometres,3258
Average Kilometres Travelled,2023,Petrol,Co. Galway,Private cars,All years,Kilometres,11795
Average Kilometres Travelled,2023,Petrol,Co. Galway,Goods vehicles,All years,Kilometres,18811
Average Kilometres Travelled,2023,Petrol,Co. Galway,Motor cycles,All years,Kilometres,2617
Average Kilometres Travelled,2023,Petrol,Co. Galway,Tractors & Machinery,All years,Kilometres,12802
Average Kilometres Travelled,2023,Petrol,Co. Galway,Small PSVs,All years,Kilometres,36883
Average Kilometres Travelled,2023,Petrol,Co. Galway,Large PSVs,All years,Kilometres,0
Average Kilometres Travelled,2023,Petrol,Co. Galway,Exempt vehicles,All years,Kilometres,16501
Average Kilometres Travelled,2023,Petrol,Co. Galway,Other vehicles,All years,Kilometres,3733
Average Kilometres Travelled,2023,Petrol,Co. Leitrim,Private cars,All years,Kilometres,12799
Average Kilometres Travelled,2023,Petrol,Co. Leitrim,Goods vehicles,All years,Kilometres,17787
Average Kilometres Travelled,2023,Petrol,Co. Leitrim,Motor cycles,All years,Kilometres,2664
Average Kilometres Travelled,2023,Petrol,Co. Leitrim,Tractors & Machinery,All years,Kilometres,20390
Average Kilometres Travelled,2023,Petrol,Co. Leitrim,Small PSVs,All years,Kilometres,0
Average Kilometres Travelled,2023,Petrol,Co. Leitrim,Large PSVs,All years,Kilometres,0
Average Kilometres Travelled,2023,Petrol,Co. Leitrim,Exempt vehicles,All years,Kilometres,14803
Average Kilometres Travelled,2023,Petrol,Co. Leitrim,Other vehicles,All years,Kilometres,3437
Average Kilometres Travelled,2023,Petrol,Co. Mayo,Private cars,All years,Kilometres,11954
Average Kilometres Travelled,2023,Petrol,Co. Mayo,Goods vehicles,All years,Kilometres,15359
Average Kilometres Travelled,2023,Petrol,Co. Mayo,Motor cycles,All years,Kilometres,2624
Average Kilometres Travelled,2023,Petrol,Co. Mayo,Tractors & Machinery,All years,Kilometres,17322
Average Kilometres Travelled,2023,Petrol,Co. Mayo,Small PSVs,All years,Kilometres,34611
Average Kilometres Travelled,2023,Petrol,Co. Mayo,Large PSVs,All years,Kilometres,0
Average Kilometres Travelled,2023,Petrol,Co. Mayo,Exempt vehicles,All years,Kilometres,12920
Average Kilometres Travelled,2023,Petrol,Co. Mayo,Other vehicles,All years,Kilometres,3273
Average Kilometres Travelled,2023,Petrol,Co. Roscommon,Private cars,All years,Kilometres,16635
Average Kilometres Travelled,2023,Petrol,Co. Roscommon,Goods vehicles,All years,Kilometres,15742
Average Kilometres Travelled,2023,Petrol,Co. Roscommon,Motor cycles,All years,Kilometres,2663
Average Kilometres Travelled,2023,Petrol,Co. Roscommon,Tractors & Machinery,All years,Kilometres,22047
Average Kilometres Travelled,2023,Petrol,Co. Roscommon,Small PSVs,All years,Kilometres,37340
Average Kilometres Travelled,2023,Petrol,Co. Roscommon,Large PSVs,All years,Kilometres,0
Average Kilometres Travelled,2023,Petrol,Co. Roscommon,Exempt vehicles,All years,Kilometres,13513
Average Kilometres Travelled,2023,Petrol,Co. Roscommon,Other vehicles,All years,Kilometres,3365
Average Kilometres Travelled,2023,Petrol,Co. Sligo,Private cars,All years,Kilometres,11698
Average Kilometres Travelled,2023,Petrol,Co. Sligo,Goods vehicles,All years,Kilometres,13996
Average Kilometres Travelled,2023,Petrol,Co. Sligo,Motor cycles,All years,Kilometres,2508
Average Kilometres Travelled,2023,Petrol,Co. Sligo,Tractors & Machinery,All years,Kilometres,9875
Average Kilometres Travelled,2023,Petrol,Co. Sligo,Small PSVs,All years,Kilometres,15953
Average Kilometres Travelled,2023,Petrol,Co. Sligo,Large PSVs,All years,Kilometres,46056
Average Kilometres Travelled,2023,Petrol,Co. Sligo,Exempt vehicles,All years,Kilometres,12955
Average Kilometres Travelled,2023,Petrol,Co. Sligo,Other vehicles,All years,Kilometres,3261
Average Kilometres Travelled,2023,Petrol,Co. Cavan,Private cars,All years,Kilometres,12437
Average Kilometres Travelled,2023,Petrol,Co. Cavan,Goods vehicles,All years,Kilometres,17148
Average Kilometres Travelled,2023,Petrol,Co. Cavan,Motor cycles,All years,Kilometres,2684
Average Kilometres Travelled,2023,Petrol,Co. Cavan,Tractors & Machinery,All years,Kilometres,10256
Average Kilometres Travelled,2023,Petrol,Co. Cavan,Small PSVs,All years,Kilometres,26040
Average Kilometres Travelled,2023,Petrol,Co. Cavan,Large PSVs,All years,Kilometres,0
Average Kilometres Travelled,2023,Petrol,Co. Cavan,Exempt vehicles,All years,Kilometres,15169
Average Kilometres Travelled,2023,Petrol,Co. Cavan,Other vehicles,All years,Kilometres,3275
Average Kilometres Travelled,2023,Petrol,Co. Donegal,Private cars,All years,Kilometres,12303
Average Kilometres Travelled,2023,Petrol,Co. Donegal,Goods vehicles,All years,Kilometres,16407
Average Kilometres Travelled,2023,Petrol,Co. Donegal,Motor cycles,All years,Kilometres,2703
Average Kilometres Travelled,2023,Petrol,Co. Donegal,Tractors & Machinery,All years,Kilometres,17287
Average Kilometres Travelled,2023,Petrol,Co. Donegal,Small PSVs,All years,Kilometres,42385
Average Kilometres Travelled,2023,Petrol,Co. Donegal,Large PSVs,All years,Kilometres,25523
Average Kilometres Travelled,2023,Petrol,Co. Donegal,Exempt vehicles,All years,Kilometres,12299
Average Kilometres Travelled,2023,Petrol,Co. Donegal,Other vehicles,All years,Kilometres,3399
Average Kilometres Travelled,2023,Petrol,Co. Monaghan,Private cars,All years,Kilometres,12102
Average Kilometres Travelled,2023,Petrol,Co. Monaghan,Goods vehicles,All years,Kilometres,19130
Average Kilometres Travelled,2023,Petrol,Co. Monaghan,Motor cycles,All years,Kilometres,2733
Average Kilometres Travelled,2023,Petrol,Co. Monaghan,Tractors & Machinery,All years,Kilometres,21634
Average Kilometres Travelled,2023,Petrol,Co. Monaghan,Small PSVs,All years,Kilometres,0
Average Kilometres Travelled,2023,Petrol,Co. Monaghan,Large PSVs,All years,Kilometres,0
Average Kilometres Travelled,2023,Petrol,Co. Monaghan,Exempt vehicles,All years,Kilometres,12442
Average Kilometres Travelled,2023,Petrol,Co. Monaghan,Other vehicles,All years,Kilometres,3215
Average Kilometres Travelled,2023,Diesel,Co. Carlow,Private cars,All years,Kilometres,19070
Average Kilometres Travelled,2023,Diesel,Co. Carlow,Goods vehicles,All years,Kilometres,22309
Average Kilometres Travelled,2023,Diesel,Co. Carlow,Motor cycles,All years,Kilometres,2164
Average Kilometres Travelled,2023,Diesel,Co. Carlow,Tractors & Machinery,All years,Kilometres,14786
Average Kilometres Travelled,2023,Diesel,Co. Carlow,Small PSVs,All years,Kilometres,39141
Average Kilometres Travelled,2023,Diesel,Co. Carlow,Large PSVs,All years,Kilometres,21201
Average Kilometres Travelled,2023,Diesel,Co. Carlow,Exempt vehicles,All years,Kilometres,12336
Average Kilometres Travelled,2023,Diesel,Co. Carlow,Other vehicles,All years,Kilometres,7637
Average Kilometres Travelled,2023,Diesel,Co. Dublin,Private cars,All years,Kilometres,15163
Average Kilometres Travelled,2023,Diesel,Co. Dublin,Goods vehicles,All years,Kilometres,24310
Average Kilometres Travelled,2023,Diesel,Co. Dublin,Motor cycles,All years,Kilometres,3026
Average Kilometres Travelled,2023,Diesel,Co. Dublin,Tractors & Machinery,All years,Kilometres,15161
Average Kilometres Travelled,2023,Diesel,Co. Dublin,Small PSVs,All years,Kilometres,36681
Average Kilometres Travelled,2023,Diesel,Co. Dublin,Large PSVs,All years,Kilometres,46960
Average Kilometres Travelled,2023,Diesel,Co. Dublin,Exempt vehicles,All years,Kilometres,13728
Average Kilometres Travelled,2023,Diesel,Co. Dublin,Other vehicles,All years,Kilometres,9476
Average Kilometres Travelled,2023,Diesel,Co. Kildare,Private cars,All years,Kilometres,18129
Average Kilometres Travelled,2023,Diesel,Co. Kildare,Goods vehicles,All years,Kilometres,23304
Average Kilometres Travelled,2023,Diesel,Co. Kildare,Motor cycles,All years,Kilometres,2964
Average Kilometres Travelled,2023,Diesel,Co. Kildare,Tractors & Machinery,All years,Kilometres,15252
Average Kilometres Travelled,2023,Diesel,Co. Kildare,Small PSVs,All years,Kilometres,40666
Average Kilometres Travelled,2023,Diesel,Co. Kildare,Large PSVs,All years,Kilometres,28046
Average Kilometres Travelled,2023,Diesel,Co. Kildare,Exempt vehicles,All years,Kilometres,14908
Average Kilometres Travelled,2023,Diesel,Co. Kildare,Other vehicles,All years,Kilometres,7109
Average Kilometres Travelled,2023,Diesel,Co. Kilkenny,Private cars,All years,Kilometres,19149
Average Kilometres Travelled,2023,Diesel,Co. Kilkenny,Goods vehicles,All years,Kilometres,22372
Average Kilometres Travelled,2023,Diesel,Co. Kilkenny,Motor cycles,All years,Kilometres,2498
Average Kilometres Travelled,2023,Diesel,Co. Kilkenny,Tractors & Machinery,All years,Kilometres,15392
Average Kilometres Travelled,2023,Diesel,Co. Kilkenny,Small PSVs,All years,Kilometres,39592
Average Kilometres Travelled,2023,Diesel,Co. Kilkenny,Large PSVs,All years,Kilometres,32002
Average Kilometres Travelled,2023,Diesel,Co. Kilkenny,Exempt vehicles,All years,Kilometres,13483
Average Kilometres Travelled,2023,Diesel,Co. Kilkenny,Other vehicles,All years,Kilometres,6212
Average Kilometres Travelled,2023,Diesel,Co. Laois,Private cars,All years,Kilometres,19503
Average Kilometres Travelled,2023,Diesel,Co. Laois,Goods vehicles,All years,Kilometres,22133
Average Kilometres Travelled,2023,Diesel,Co. Laois,Motor cycles,All years,Kilometres,3111
Average Kilometres Travelled,2023,Diesel,Co. Laois,Tractors & Machinery,All years,Kilometres,14812
Average Kilometres Travelled,2023,Diesel,Co. Laois,Small PSVs,All years,Kilometres,40029
Average Kilometres Travelled,2023,Diesel,Co. Laois,Large PSVs,All years,Kilometres,26996
Average Kilometres Travelled,2023,Diesel,Co. Laois,Exempt vehicles,All years,Kilometres,13540
Average Kilometres Travelled,2023,Diesel,Co. Laois,Other vehicles,All years,Kilometres,7000
Average Kilometres Travelled,2023,Diesel,Co. Longford,Private cars,All years,Kilometres,19757
Average Kilometres Travelled,2023,Diesel,Co. Longford,Goods vehicles,All years,Kilometres,22334
Average Kilometres Travelled,2023,Diesel,Co. Longford,Motor cycles,All years,Kilometres,0
Average Kilometres Travelled,2023,Diesel,Co. Longford,Tractors & Machinery,All years,Kilometres,15590
Average Kilometres Travelled,2023,Diesel,Co. Longford,Small PSVs,All years,Kilometres,43074
Average Kilometres Travelled,2023,Diesel,Co. Longford,Large PSVs,All years,Kilometres,30248
Average Kilometres Travelled,2023,Diesel,Co. Longford,Exempt vehicles,All years,Kilometres,15744
Average Kilometres Travelled,2023,Diesel,Co. Longford,Other vehicles,All years,Kilometres,5145
Average Kilometres Travelled,2023,Diesel,Co. Louth,Private cars,All years,Kilometres,17909
Average Kilometres Travelled,2023,Diesel,Co. Louth,Goods vehicles,All years,Kilometres,22180
Average Kilometres Travelled,2023,Diesel,Co. Louth,Motor cycles,All years,Kilometres,2443
Average Kilometres Travelled,2023,Diesel,Co. Louth,Tractors & Machinery,All years,Kilometres,16081
Average Kilometres Travelled,2023,Diesel,Co. Louth,Small PSVs,All years,Kilometres,39510
Average Kilometres Travelled,2023,Diesel,Co. Louth,Large PSVs,All years,Kilometres,27207
Average Kilometres Travelled,2023,Diesel,Co. Louth,Exempt vehicles,All years,Kilometres,12730
Average Kilometres Travelled,2023,Diesel,Co. Louth,Other vehicles,All years,Kilometres,6958
Average Kilometres Travelled,2023,Diesel,Co. Meath,Private cars,All years,Kilometres,18339
Average Kilometres Travelled,2023,Diesel,Co. Meath,Goods vehicles,All years,Kilometres,23860
Average Kilometres Travelled,2023,Diesel,Co. Meath,Motor cycles,All years,Kilometres,3241
Average Kilometres Travelled,2023,Diesel,Co. Meath,Tractors & Machinery,All years,Kilometres,15528
Average Kilometres Travelled,2023,Diesel,Co. Meath,Small PSVs,All years,Kilometres,42162
Average Kilometres Travelled,2023,Diesel,Co. Meath,Large PSVs,All years,Kilometres,27730
Average Kilometres Travelled,2023,Diesel,Co. Meath,Exempt vehicles,All years,Kilometres,13225
Average Kilometres Travelled,2023,Diesel,Co. Meath,Other vehicles,All years,Kilometres,7558
Average Kilometres Travelled,2023,Diesel,Co. Offaly,Private cars,All years,Kilometres,19491
Average Kilometres Travelled,2023,Diesel,Co. Offaly,Goods vehicles,All years,Kilometres,21663
Average Kilometres Travelled,2023,Diesel,Co. Offaly,Motor cycles,All years,Kilometres,2666
Average Kilometres Travelled,2023,Diesel,Co. Offaly,Tractors & Machinery,All years,Kilometres,15820
Average Kilometres Travelled,2023,Diesel,Co. Offaly,Small PSVs,All years,Kilometres,38618
Average Kilometres Travelled,2023,Diesel,Co. Offaly,Large PSVs,All years,Kilometres,26294
Average Kilometres Travelled,2023,Diesel,Co. Offaly,Exempt vehicles,All years,Kilometres,14396
Average Kilometres Travelled,2023,Diesel,Co. Offaly,Other vehicles,All years,Kilometres,5161
Average Kilometres Travelled,2023,Diesel,Co. Westmeath,Private cars,All years,Kilometres,19293
Average Kilometres Travelled,2023,Diesel,Co. Westmeath,Goods vehicles,All years,Kilometres,21478
Average Kilometres Travelled,2023,Diesel,Co. Westmeath,Motor cycles,All years,Kilometres,3033
Average Kilometres Travelled,2023,Diesel,Co. Westmeath,Tractors & Machinery,All years,Kilometres,15502
Average Kilometres Travelled,2023,Diesel,Co. Westmeath,Small PSVs,All years,Kilometres,41621
Average Kilometres Travelled,2023,Diesel,Co. Westmeath,Large PSVs,All years,Kilometres,31532
Average Kilometres Travelled,2023,Diesel,Co. Westmeath,Exempt vehicles,All years,Kilometres,14042
Average Kilometres Travelled,2023,Diesel,Co. Westmeath,Other vehicles,All years,Kilometres,6322
Average Kilometres Travelled,2023,Diesel,Co. Wexford,Private cars,All years,Kilometres,18924
Average Kilometres Travelled,2023,Diesel,Co. Wexford,Goods vehicles,All years,Kilometres,23714
Average Kilometres Travelled,2023,Diesel,Co. Wexford,Motor cycles,All years,Kilometres,3068
Average Kilometres Travelled,2023,Diesel,Co. Wexford,Tractors & Machinery,All years,Kilometres,15573
Average Kilometres Travelled,2023,Diesel,Co. Wexford,Small PSVs,All years,Kilometres,40251
Average Kilometres Travelled,2023,Diesel,Co. Wexford,Large PSVs,All years,Kilometres,31673
Average Kilometres Travelled,2023,Diesel,Co. Wexford,Exempt vehicles,All years,Kilometres,14296
Average Kilometres Travelled,2023,Diesel,Co. Wexford,Other vehicles,All years,Kilometres,6436
Average Kilometres Travelled,2023,Diesel,Co. Wicklow,Private cars,All years,Kilometres,17644
Average Kilometres Travelled,2023,Diesel,Co. Wicklow,Goods vehicles,All years,Kilometres,20545
Average Kilometres Travelled,2023,Diesel,Co. Wicklow,Motor cycles,All years,Kilometres,3040
Average Kilometres Travelled,2023,Diesel,Co. Wicklow,Tractors & Machinery,All years,Kilometres,14868
Average Kilometres Travelled,2023,Diesel,Co. Wicklow,Small PSVs,All years,Kilometres,38651
Average Kilometres Travelled,2023,Diesel,Co. Wicklow,Large PSVs,All years,Kilometres,26131
Average Kilometres Travelled,2023,Diesel,Co. Wicklow,Exempt vehicles,All years,Kilometres,12582
Average Kilometres Travelled,2023,Diesel,Co. Wicklow,Other vehicles,All years,Kilometres,7038
Average Kilometres Travelled,2023,Diesel,Co. Clare,Private cars,All years,Kilometres,19355
Average Kilometres Travelled,2023,Diesel,Co. Clare,Goods vehicles,All years,Kilometres,20460
Average Kilometres Travelled,2023,Diesel,Co. Clare,Motor cycles,All years,Kilometres,2888
Average Kilometres Travelled,2023,Diesel,Co. Clare,Tractors & Machinery,All years,Kilometres,16116
Average Kilometres Travelled,2023,Diesel,Co. Clare,Small PSVs,All years,Kilometres,39022
Average Kilometres Travelled,2023,Diesel,Co. Clare,Large PSVs,All years,Kilometres,26841
Average Kilometres Travelled,2023,Diesel,Co. Clare,Exempt vehicles,All years,Kilometres,13613
Average Kilometres Travelled,2023,Diesel,Co. Clare,Other vehicles,All years,Kilometres,5398
Average Kilometres Travelled,2023,Diesel,Co. Cork,Private cars,All years,Kilometres,17501
Average Kilometres Travelled,2023,Diesel,Co. Cork,Goods vehicles,All years,Kilometres,20954
Average Kilometres Travelled,2023,Diesel,Co. Cork,Motor cycles,All years,Kilometres,3015
Average Kilometres Travelled,2023,Diesel,Co. Cork,Tractors & Machinery,All years,Kilometres,15367
Average Kilometres Travelled,2023,Diesel,Co. Cork,Small PSVs,All years,Kilometres,37579
