STATISTIC Label,Year,Age Group,Sex,UNIT,VALUE
Population Estimates (Persons in April),2022,0 - 4 years,Female,Thousand,144.2
Population Estimates (Persons in April),2022,0 - 14 years,Male,Thousand,519
Population Estimates (Persons in April),2022,0 - 14 years,Female,Thousand,495.3
Population Estimates (Persons in April),2022,1 - 4 years,Male,Thousand,122
Population Estimates (Persons in April),2022,1 - 4 years,Female,Thousand,116.1
Population Estimates (Persons in April),2022,5 - 9 years,Male,Thousand,175.9
Population Estimates (Persons in April),2022,5 - 9 years,Female,Thousand,167.7
Population Estimates (Persons in April),2022,10 - 14 years,Male,Thousand,191.5
Population Estimates (Persons in April),2022,10 - 14 years,Female,Thousand,183.4
Population Estimates (Persons in April),2022,15 - 19 years,Male,Thousand,172.6
Population Estimates (Persons in April),2022,15 - 19 years,Female,Thousand,165.1
Population Estimates (Persons in April),2022,15 - 24 years,Male,Thousand,330.6
Population Estimates (Persons in April),2022,15 - 24 years,Female,Thousand,319.1
Population Estimates (Persons in April),2022,15 years and over,Male,Thousand,2043
Population Estimates (Persons in April),2022,15 years and over,Female,Thousand,2126.7
Population Estimates (Persons in April),2022,20 - 24 years,Male,Thousand,158
Population Estimates (Persons in April),2022,20 - 24 years,Female,Thousand,153.9
Population Estimates (Persons in April),2022,25 - 29 years,Male,Thousand,149.1
Population Estimates (Persons in April),2022,25 - 29 years,Female,Thousand,150
Population Estimates (Persons in April),2022,25 - 44 years,Male,Thousand,696.9
Population Estimates (Persons in April),2022,25 - 44 years,Female,Thousand,737.3
Population Estimates (Persons in April),2022,30 - 34 years,Male,Thousand,161.4
Population Estimates (Persons in April),2022,30 - 34 years,Female,Thousand,173.1
Population Estimates (Persons in April),2022,35 - 39 years,Male,Thousand,184.3
Population Estimates (Persons in April),2022,35 - 39 years,Female,Thousand,201.5
Population Estimates (Persons in April),2022,40 - 44 years,Male,Thousand,202.1
Population Estimates (Persons in April),2022,40 - 44 years,Female,Thousand,212.7
Population Estimates (Persons in April),2022,45 - 49 years,Male,Thousand,186.5
Population Estimates (Persons in April),2022,45 - 49 years,Female,Thousand,189.5
Population Estimates (Persons in April),2022,45 - 64 years,Male,Thousand,647.2
Population Estimates (Persons in April),2022,45 - 64 years,Female,Thousand,657.3
Population Estimates (Persons in April),2022,50 - 54 years,Male,Thousand,171.4
Population Estimates (Persons in April),2022,50 - 54 years,Female,Thousand,171.4
Population Estimates (Persons in April),2022,55 - 59 years,Male,Thousand,153.2
Population Estimates (Persons in April),2022,55 - 59 years,Female,Thousand,156.5
Population Estimates (Persons in April),2022,60 - 64 years,Male,Thousand,136
Population Estimates (Persons in April),2022,60 - 64 years,Female,Thousand,139.8
Population Estimates (Persons in April),2022,65 - 69 years,Male,Thousand,118.6
Population Estimates (Persons in April),2022,65 - 69 years,Female,Thousand,121.9
Population Estimates (Persons in April),2022,65 years and over,Male,Thousand,368.2
Population Estimates (Persons in April),2022,65 years and over,Female,Thousand,413.1
Population Estimates (Persons in April),2022,70 - 74 years,Male,Thousand,100.2
Population Estimates (Persons in April),2022,70 - 74 years,Female,Thousand,104.5
Population Estimates (Persons in April),2022,75 - 79 years,Male,Thousand,74.1
Population Estimates (Persons in April),2022,75 - 79 years,Female,Thousand,80.9
Population Estimates (Persons in April),2022,80 - 84 years,Male,Thousand,43.7
