,AtcoCode,PlateCode,CommonName,ShortCommonName,CommonNameGA,ShortCommonNameGA,Indicator,Street,NptgLocalityRef,GridType,Easting,Northing,Latitude,Longitude,StopType,BusStopType,TimingStatus,CompassPoint,StopAreaRef,AdministrativeAreaRef,Status,CreationDateTime,ModificationDateTime
13305,8410LL10608,10608,Kilmeedy,Kilmeedy,Cill Míde,Cill Míde,,,E0841019,ITM,537760,629618,52.414525,-8.914906,BCT,CUS,OTH,N,,841,active,2019-06-07T00:00:00.000,2025-04-11T12:38:40.413
13306,8410LL10609,10609,Feenagh,Feenagh,Fíonach,Fíonach,,,E0841009,ITM,540274,626820,52.389659,-8.877456,BCT,CUS,OTH,N,,841,active,2019-06-10T00:00:00.000,2025-04-11T12:43:14.812
13307,8410LL10610,10610,Feohanagh,Feohanagh,An Fheothanach,An Fheothanach,,,E0841067,ITM,533621,626574,52.386682,-8.975135,BCT,CUS,OTH,N,,841,active,2019-06-10T00:00:00.000,2025-04-11T12:34:16.236
13308,8410LL10611,10611,Castlemahon,Castlemahon,Caisleán Maí Tamhnach,Cais Maí Tamhnach,,,E0841026,ITM,531321,631515,52.430803,-9.009931,BCT,CUS,OTH,N,,841,active,2019-06-10T00:00:00.000,2026-03-11T11:19:15.001
13309,8410LL10602,12028,Upperchurch,Upperchurch,An Teampall Uachtarach,An Teampall Uacht,,,E0842023,ITM,598567,660767,52.698032,-8.021202,BCT,CUS,OTH,N,,841,active,2019-09-24T00:00:00.000,2025-03-21T10:55:59.001
13310,8410LL10603,12853,Kilcommon Cross,Kilcommon Cross,Crois Cill Chuimín,Crois Cill Chuimín,,,E0411245,ITM,589050,658702,52.679365,-8.161931,BCT,CUS,OTH,N,,841,active,2019-09-24T00:00:00.000,2025-02-13T14:17:35.452
13311,8410LL10599,10599,Knockbrack West,Knockbrack West,An Cnoc Breac Thiar,An Cnoc Breac Thiar,,,E0841064,ITM,566132,658849,52.6797391,-8.5008537,BCT,CUS,OTH,N,,841,active,2019-09-24T00:00:00.000,2023-08-03T14:48:52.722
13312,841000018,,Begley's Service Station,,,,,,E0841978,ITM,555097,623680,52.3628531,-8.6592842,BCT,CUS,OTH,N,,841,active,2019-10-03T00:00:00.000,2021-06-02T15:02:29.000
13313,841000013,13378,Athlacca,Athlacca,An tÁth Leacach,An tÁth Leacach,,,E0841007,ITM,555783,634219,52.45763,-8.65061,BCT,CUS,OTH,N,,841,active,2019-10-03T00:00:00.000,2025-07-17T10:58:38.844
13314,841000010,13375,Rathcannon,Rathcannon,Ráth Chanann,Ráth Chanann,,,E0841212,ITM,557622,633041,52.447189,-8.623398,BCT,CUS,OTH,N,,841,active,2019-10-03T00:00:00.000,2025-05-13T10:41:28.451
13315,841000009,13374,Dromin,Dromin,An Dromainn,An Dromainn,,,E0841929,ITM,560492,632424,52.441859,-8.581109,BCT,CUS,OTH,N,,841,active,2019-10-03T00:00:00.000,2025-05-13T10:40:25.140
13316,841000008,13373,Bulgaden,Bulgaden,Builgidín,Builgidín,,,E0841083,ITM,563747,629754,52.41809,-8.53294,BCT,CUS,OTH,N,,841,active,2019-10-03T00:00:00.000,2025-08-12T15:53:06.000
13317,841000001,,Derryknockane Avenue,Derryknockane Ave,Ascaill Dhoire an Chnocáin,Asc Dhoire an Chnoc,,,E0841302,ITM,555452,652334,52.620414,-8.657904,BCT,CUS,OTH,N,,841,active,2020-02-11T00:00:00.000,2025-02-10T12:26:09.001
13318,841000020,,Hogans Shop,Hogans Shop,,,,,E0841011,ITM,512981,647320,52.570216,-9.283687,BCT,CUS,OTH,N,,841,active,2020-06-09T00:00:00.000,2025-01-29T10:49:50.000
13319,841000019,13382,Bishop's Street,Bishop's Street,Sráid an Easpaig,Sráid an Easpaig,,,E0841030,ITM,527999,633952,52.452277,-9.059298,BCT,CUS,OTH,N,,841,active,2022-05-26T00:00:00.000,2025-05-13T10:57:35.021
