Statistic Label,Year,Type of Ownership,Engine Capacity cc,Fuel Type,County of Ownership,Year of Registration,UNIT,VALUE
Average Kilometres Travelled,2020,All owners,1801 - 2000 cc,Diesel,Co. Dublin,All years,Kilometres,12769
Average Kilometres Travelled,2020,All owners,1801 - 2000 cc,Diesel,Co. Galway,All years,Kilometres,15246
Average Kilometres Travelled,2020,All owners,1801 - 2000 cc,Diesel,Co. Kerry,All years,Kilometres,14734
Average Kilometres Travelled,2020,All owners,1801 - 2000 cc,Diesel,Co. Kildare,All years,Kilometres,14405
Average Kilometres Travelled,2020,All owners,1801 - 2000 cc,Diesel,Co. Kilkenny,All years,Kilometres,15336
Average Kilometres Travelled,2020,All owners,1801 - 2000 cc,Diesel,Co. Laois,All years,Kilometres,15511
Average Kilometres Travelled,2020,All owners,1801 - 2000 cc,Diesel,Co. Leitrim,All years,Kilometres,15760
Average Kilometres Travelled,2020,All owners,1801 - 2000 cc,Diesel,Co. Limerick,All years,Kilometres,15028
Average Kilometres Travelled,2020,All owners,1801 - 2000 cc,Diesel,Co. Longford,All years,Kilometres,15998
Average Kilometres Travelled,2020,All owners,1801 - 2000 cc,Diesel,Co. Louth,All years,Kilometres,14723
Average Kilometres Travelled,2020,All owners,1801 - 2000 cc,Diesel,Co. Mayo,All years,Kilometres,15267
Average Kilometres Travelled,2020,All owners,1801 - 2000 cc,Diesel,Co. Meath,All years,Kilometres,14842
Average Kilometres Travelled,2020,All owners,1801 - 2000 cc,Diesel,Co. Monaghan,All years,Kilometres,15122
Average Kilometres Travelled,2020,All owners,1801 - 2000 cc,Diesel,Co. Offaly,All years,Kilometres,15478
Average Kilometres Travelled,2020,All owners,1801 - 2000 cc,Diesel,Co. Roscommon,All years,Kilometres,16193
Average Kilometres Travelled,2020,All owners,1801 - 2000 cc,Diesel,Co. Sligo,All years,Kilometres,15219
Average Kilometres Travelled,2020,All owners,1801 - 2000 cc,Diesel,Co. Tipperary,All years,Kilometres,15803
Average Kilometres Travelled,2020,All owners,1801 - 2000 cc,Diesel,Co. Waterford,All years,Kilometres,14512
Average Kilometres Travelled,2020,All owners,1801 - 2000 cc,Diesel,Co. Westmeath,All years,Kilometres,15720
Average Kilometres Travelled,2020,All owners,1801 - 2000 cc,Diesel,Co. Wexford,All years,Kilometres,15018
Average Kilometres Travelled,2020,All owners,1801 - 2000 cc,Diesel,Co. Wicklow,All years,Kilometres,14095
Average Kilometres Travelled,2020,All owners,1801 - 2000 cc,Other fuel types,Co. Carlow,All years,Kilometres,9704
Average Kilometres Travelled,2020,All owners,1801 - 2000 cc,Other fuel types,Co. Cavan,All years,Kilometres,9827
Average Kilometres Travelled,2020,All owners,1801 - 2000 cc,Other fuel types,Co. Clare,All years,Kilometres,9774
Average Kilometres Travelled,2020,All owners,1801 - 2000 cc,Other fuel types,Co. Cork,All years,Kilometres,9680
Average Kilometres Travelled,2020,All owners,1801 - 2000 cc,Other fuel types,Co. Donegal,All years,Kilometres,9933
Average Kilometres Travelled,2020,All owners,1801 - 2000 cc,Other fuel types,Co. Dublin,All years,Kilometres,9376
Average Kilometres Travelled,2020,All owners,1801 - 2000 cc,Other fuel types,Co. Galway,All years,Kilometres,9570
Average Kilometres Travelled,2020,All owners,1801 - 2000 cc,Other fuel types,Co. Kerry,All years,Kilometres,9390
Average Kilometres Travelled,2020,All owners,1801 - 2000 cc,Other fuel types,Co. Kildare,All years,Kilometres,9617
Average Kilometres Travelled,2020,All owners,1801 - 2000 cc,Other fuel types,Co. Kilkenny,All years,Kilometres,9904
Average Kilometres Travelled,2020,All owners,1801 - 2000 cc,Other fuel types,Co. Laois,All years,Kilometres,9432
Average Kilometres Travelled,2020,All owners,1801 - 2000 cc,Other fuel types,Co. Leitrim,All years,Kilometres,12548
Average Kilometres Travelled,2020,All owners,1801 - 2000 cc,Other fuel types,Co. Limerick,All years,Kilometres,9764
Average Kilometres Travelled,2020,All owners,1801 - 2000 cc,Other fuel types,Co. Longford,All years,Kilometres,9478
Average Kilometres Travelled,2020,All owners,1801 - 2000 cc,Other fuel types,Co. Louth,All years,Kilometres,9478
Average Kilometres Travelled,2020,All owners,1801 - 2000 cc,Other fuel types,Co. Mayo,All years,Kilometres,9738
Average Kilometres Travelled,2020,All owners,1801 - 2000 cc,Other fuel types,Co. Meath,All years,Kilometres,9409
Average Kilometres Travelled,2020,All owners,1801 - 2000 cc,Other fuel types,Co. Monaghan,All years,Kilometres,10232
Average Kilometres Travelled,2020,All owners,1801 - 2000 cc,Other fuel types,Co. Offaly,All years,Kilometres,9088
Average Kilometres Travelled,2020,All owners,1801 - 2000 cc,Other fuel types,Co. Roscommon,All years,Kilometres,9482
Average Kilometres Travelled,2020,All owners,1801 - 2000 cc,Other fuel types,Co. Sligo,All years,Kilometres,8993
Average Kilometres Travelled,2020,All owners,1801 - 2000 cc,Other fuel types,Co. Tipperary,All years,Kilometres,10138
Average Kilometres Travelled,2020,All owners,1801 - 2000 cc,Other fuel types,Co. Waterford,All years,Kilometres,9886
Average Kilometres Travelled,2020,All owners,1801 - 2000 cc,Other fuel types,Co. Westmeath,All years,Kilometres,9558
Average Kilometres Travelled,2020,All owners,1801 - 2000 cc,Other fuel types,Co. Wexford,All years,Kilometres,9456
Average Kilometres Travelled,2020,All owners,1801 - 2000 cc,Other fuel types,Co. Wicklow,All years,Kilometres,9610
Average Kilometres Travelled,2020,All owners,Over 2000 cc,Petrol,Co. Carlow,All years,Kilometres,10312
Average Kilometres Travelled,2020,All owners,Over 2000 cc,Petrol,Co. Cavan,All years,Kilometres,8978
Average Kilometres Travelled,2020,All owners,Over 2000 cc,Petrol,Co. Clare,All years,Kilometres,8602
Average Kilometres Travelled,2020,All owners,Over 2000 cc,Petrol,Co. Cork,All years,Kilometres,8645
Average Kilometres Travelled,2020,All owners,Over 2000 cc,Petrol,Co. Donegal,All years,Kilometres,9285
Average Kilometres Travelled,2020,All owners,Over 2000 cc,Petrol,Co. Dublin,All years,Kilometres,7481
Average Kilometres Travelled,2020,All owners,Over 2000 cc,Petrol,Co. Galway,All years,Kilometres,8211
Average Kilometres Travelled,2020,All owners,Over 2000 cc,Petrol,Co. Kerry,All years,Kilometres,8161
Average Kilometres Travelled,2020,All owners,Over 2000 cc,Petrol,Co. Kildare,All years,Kilometres,8904
Average Kilometres Travelled,2020,All owners,Over 2000 cc,Petrol,Co. Kilkenny,All years,Kilometres,11304
Average Kilometres Travelled,2020,All owners,Over 2000 cc,Petrol,Co. Laois,All years,Kilometres,9018
Average Kilometres Travelled,2020,All owners,Over 2000 cc,Petrol,Co. Leitrim,All years,Kilometres,9102
Average Kilometres Travelled,2020,All owners,Over 2000 cc,Petrol,Co. Limerick,All years,Kilometres,8282
Average Kilometres Travelled,2020,All owners,Over 2000 cc,Petrol,Co. Longford,All years,Kilometres,9509
Average Kilometres Travelled,2020,All owners,Over 2000 cc,Petrol,Co. Louth,All years,Kilometres,8809
Average Kilometres Travelled,2020,All owners,Over 2000 cc,Petrol,Co. Mayo,All years,Kilometres,9856
Average Kilometres Travelled,2020,All owners,Over 2000 cc,Petrol,Co. Meath,All years,Kilometres,8930
Average Kilometres Travelled,2020,All owners,Over 2000 cc,Petrol,Co. Monaghan,All years,Kilometres,9284
Average Kilometres Travelled,2020,All owners,Over 2000 cc,Petrol,Co. Offaly,All years,Kilometres,8943
Average Kilometres Travelled,2020,All owners,Over 2000 cc,Petrol,Co. Roscommon,All years,Kilometres,7950
Average Kilometres Travelled,2020,All owners,Over 2000 cc,Petrol,Co. Sligo,All years,Kilometres,8098
Average Kilometres Travelled,2020,All owners,Over 2000 cc,Petrol,Co. Tipperary,All years,Kilometres,10158
Average Kilometres Travelled,2020,All owners,Over 2000 cc,Petrol,Co. Waterford,All years,Kilometres,8210
Average Kilometres Travelled,2020,All owners,Over 2000 cc,Petrol,Co. Westmeath,All years,Kilometres,8565
Average Kilometres Travelled,2020,All owners,Over 2000 cc,Petrol,Co. Wexford,All years,Kilometres,7969
Average Kilometres Travelled,2020,All owners,Over 2000 cc,Petrol,Co. Wicklow,All years,Kilometres,9312
Average Kilometres Travelled,2020,All owners,Over 2000 cc,Diesel,Co. Carlow,All years,Kilometres,15249
Average Kilometres Travelled,2020,All owners,Over 2000 cc,Diesel,Co. Cavan,All years,Kilometres,15301
Average Kilometres Travelled,2020,All owners,Over 2000 cc,Diesel,Co. Clare,All years,Kilometres,14691
Average Kilometres Travelled,2020,All owners,Over 2000 cc,Diesel,Co. Cork,All years,Kilometres,13617
Average Kilometres Travelled,2020,All owners,Over 2000 cc,Diesel,Co. Donegal,All years,Kilometres,14093
Average Kilometres Travelled,2020,All owners,Over 2000 cc,Diesel,Co. Dublin,All years,Kilometres,11910
Average Kilometres Travelled,2020,All owners,Over 2000 cc,Diesel,Co. Galway,All years,Kilometres,14501
Average Kilometres Travelled,2020,All owners,Over 2000 cc,Diesel,Co. Kerry,All years,Kilometres,14077
Average Kilometres Travelled,2020,All owners,Over 2000 cc,Diesel,Co. Kildare,All years,Kilometres,14201
Average Kilometres Travelled,2020,All owners,Over 2000 cc,Diesel,Co. Kilkenny,All years,Kilometres,15147
Average Kilometres Travelled,2020,All owners,Over 2000 cc,Diesel,Co. Laois,All years,Kilometres,15301
Average Kilometres Travelled,2020,All owners,Over 2000 cc,Diesel,Co. Leitrim,All years,Kilometres,16067
Average Kilometres Travelled,2020,All owners,Over 2000 cc,Diesel,Co. Limerick,All years,Kilometres,15053
Average Kilometres Travelled,2020,All owners,Over 2000 cc,Diesel,Co. Longford,All years,Kilometres,16290
Average Kilometres Travelled,2020,All owners,Over 2000 cc,Diesel,Co. Louth,All years,Kilometres,14293
Average Kilometres Travelled,2020,All owners,Over 2000 cc,Diesel,Co. Mayo,All years,Kilometres,14550
Average Kilometres Travelled,2020,All owners,Over 2000 cc,Diesel,Co. Meath,All years,Kilometres,14457
Average Kilometres Travelled,2020,All owners,Over 2000 cc,Diesel,Co. Monaghan,All years,Kilometres,14713
Average Kilometres Travelled,2020,All owners,Over 2000 cc,Diesel,Co. Offaly,All years,Kilometres,15705
Average Kilometres Travelled,2020,All owners,Over 2000 cc,Diesel,Co. Roscommon,All years,Kilometres,16011
Average Kilometres Travelled,2020,All owners,Over 2000 cc,Diesel,Co. Sligo,All years,Kilometres,14658
Average Kilometres Travelled,2020,All owners,Over 2000 cc,Diesel,Co. Tipperary,All years,Kilometres,15394
Average Kilometres Travelled,2020,All owners,Over 2000 cc,Diesel,Co. Waterford,All years,Kilometres,14080
Average Kilometres Travelled,2020,All owners,Over 2000 cc,Diesel,Co. Westmeath,All years,Kilometres,15501
Average Kilometres Travelled,2020,All owners,Over 2000 cc,Diesel,Co. Wexford,All years,Kilometres,14893
Average Kilometres Travelled,2020,All owners,Over 2000 cc,Diesel,Co. Wicklow,All years,Kilometres,13710
Average Kilometres Travelled,2020,All owners,Over 2000 cc,Other fuel types,Co. Carlow,All years,Kilometres,10285
Average Kilometres Travelled,2020,All owners,Over 2000 cc,Other fuel types,Co. Cavan,All years,Kilometres,10621
Average Kilometres Travelled,2020,All owners,Over 2000 cc,Other fuel types,Co. Clare,All years,Kilometres,10452
Average Kilometres Travelled,2020,All owners,Over 2000 cc,Other fuel types,Co. Cork,All years,Kilometres,10157
Average Kilometres Travelled,2020,All owners,Over 2000 cc,Other fuel types,Co. Donegal,All years,Kilometres,9876
Average Kilometres Travelled,2020,All owners,Over 2000 cc,Other fuel types,Co. Dublin,All years,Kilometres,9668
Average Kilometres Travelled,2020,All owners,Over 2000 cc,Other fuel types,Co. Galway,All years,Kilometres,10274
Average Kilometres Travelled,2020,All owners,Over 2000 cc,Other fuel types,Co. Kerry,All years,Kilometres,10355
Average Kilometres Travelled,2020,All owners,Over 2000 cc,Other fuel types,Co. Kildare,All years,Kilometres,10249
Average Kilometres Travelled,2020,All owners,Over 2000 cc,Other fuel types,Co. Kilkenny,All years,Kilometres,10485
Average Kilometres Travelled,2020,All owners,Over 2000 cc,Other fuel types,Co. Laois,All years,Kilometres,10478
Average Kilometres Travelled,2020,All owners,Over 2000 cc,Other fuel types,Co. Leitrim,All years,Kilometres,11054
Average Kilometres Travelled,2020,All owners,Over 2000 cc,Other fuel types,Co. Limerick,All years,Kilometres,10407
Average Kilometres Travelled,2020,All owners,Over 2000 cc,Other fuel types,Co. Longford,All years,Kilometres,10293
Average Kilometres Travelled,2020,All owners,Over 2000 cc,Other fuel types,Co. Louth,All years,Kilometres,10250
Average Kilometres Travelled,2020,All owners,Over 2000 cc,Other fuel types,Co. Mayo,All years,Kilometres,10347
Average Kilometres Travelled,2020,All owners,Over 2000 cc,Other fuel types,Co. Meath,All years,Kilometres,10165
Average Kilometres Travelled,2020,All owners,Over 2000 cc,Other fuel types,Co. Monaghan,All years,Kilometres,9811
Average Kilometres Travelled,2020,All owners,Over 2000 cc,Other fuel types,Co. Offaly,All years,Kilometres,10267
Average Kilometres Travelled,2020,All owners,Over 2000 cc,Other fuel types,Co. Roscommon,All years,Kilometres,10574
Average Kilometres Travelled,2020,All owners,Over 2000 cc,Other fuel types,Co. Sligo,All years,Kilometres,10208
Average Kilometres Travelled,2020,All owners,Over 2000 cc,Other fuel types,Co. Tipperary,All years,Kilometres,10155
Average Kilometres Travelled,2020,All owners,Over 2000 cc,Other fuel types,Co. Waterford,All years,Kilometres,10458
Average Kilometres Travelled,2020,All owners,Over 2000 cc,Other fuel types,Co. Westmeath,All years,Kilometres,10411
Average Kilometres Travelled,2020,All owners,Over 2000 cc,Other fuel types,Co. Wexford,All years,Kilometres,10425
Average Kilometres Travelled,2020,All owners,Over 2000 cc,Other fuel types,Co. Wicklow,All years,Kilometres,10116
Average Kilometres Travelled,2021,All owners,Up to 1000 cc,Petrol,Co. Carlow,All years,Kilometres,9939
Average Kilometres Travelled,2021,All owners,Up to 1000 cc,Petrol,Co. Cavan,All years,Kilometres,10896
Average Kilometres Travelled,2021,All owners,Up to 1000 cc,Petrol,Co. Clare,All years,Kilometres,10672
Average Kilometres Travelled,2021,All owners,Up to 1000 cc,Petrol,Co. Cork,All years,Kilometres,9873
Average Kilometres Travelled,2021,All owners,Up to 1000 cc,Petrol,Co. Donegal,All years,Kilometres,10440
Average Kilometres Travelled,2021,All owners,Up to 1000 cc,Petrol,Co. Dublin,All years,Kilometres,8171
Average Kilometres Travelled,2021,All owners,Up to 1000 cc,Petrol,Co. Galway,All years,Kilometres,10299
Average Kilometres Travelled,2021,All owners,Up to 1000 cc,Petrol,Co. Kerry,All years,Kilometres,10226
Average Kilometres Travelled,2021,All owners,Up to 1000 cc,Petrol,Co. Kildare,All years,Kilometres,9920
Average Kilometres Travelled,2021,All owners,Up to 1000 cc,Petrol,Co. Kilkenny,All years,Kilometres,10290
Average Kilometres Travelled,2021,All owners,Up to 1000 cc,Petrol,Co. Laois,All years,Kilometres,10704
Average Kilometres Travelled,2021,All owners,Up to 1000 cc,Petrol,Co. Leitrim,All years,Kilometres,11206
Average Kilometres Travelled,2021,All owners,Up to 1000 cc,Petrol,Co. Limerick,All years,Kilometres,9901
Average Kilometres Travelled,2021,All owners,Up to 1000 cc,Petrol,Co. Longford,All years,Kilometres,10481
Average Kilometres Travelled,2021,All owners,Up to 1000 cc,Petrol,Co. Louth,All years,Kilometres,9381
Average Kilometres Travelled,2021,All owners,Up to 1000 cc,Petrol,Co. Mayo,All years,Kilometres,10397
Average Kilometres Travelled,2021,All owners,Up to 1000 cc,Petrol,Co. Meath,All years,Kilometres,10503
Average Kilometres Travelled,2021,All owners,Up to 1000 cc,Petrol,Co. Monaghan,All years,Kilometres,10198
Average Kilometres Travelled,2021,All owners,Up to 1000 cc,Petrol,Co. Offaly,All years,Kilometres,10472
Average Kilometres Travelled,2021,All owners,Up to 1000 cc,Petrol,Co. Roscommon,All years,Kilometres,12718
Average Kilometres Travelled,2021,All owners,Up to 1000 cc,Petrol,Co. Sligo,All years,Kilometres,9951
Average Kilometres Travelled,2021,All owners,Up to 1000 cc,Petrol,Co. Tipperary,All years,Kilometres,10436
Average Kilometres Travelled,2021,All owners,Up to 1000 cc,Petrol,Co. Waterford,All years,Kilometres,10087
Average Kilometres Travelled,2021,All owners,Up to 1000 cc,Petrol,Co. Westmeath,All years,Kilometres,10543
Average Kilometres Travelled,2021,All owners,Up to 1000 cc,Petrol,Co. Wexford,All years,Kilometres,10931
Average Kilometres Travelled,2021,All owners,Up to 1000 cc,Petrol,Co. Wicklow,All years,Kilometres,10093
Average Kilometres Travelled,2021,All owners,Up to 1000 cc,Diesel,Co. Carlow,All years,Kilometres,8258
Average Kilometres Travelled,2021,All owners,Up to 1000 cc,Diesel,Co. Cavan,All years,Kilometres,8738
Average Kilometres Travelled,2021,All owners,Up to 1000 cc,Diesel,Co. Clare,All years,Kilometres,10901
Average Kilometres Travelled,2021,All owners,Up to 1000 cc,Diesel,Co. Cork,All years,Kilometres,14476
Average Kilometres Travelled,2021,All owners,Up to 1000 cc,Diesel,Co. Donegal,All years,Kilometres,16557
Average Kilometres Travelled,2021,All owners,Up to 1000 cc,Diesel,Co. Dublin,All years,Kilometres,14642
Average Kilometres Travelled,2021,All owners,Up to 1000 cc,Diesel,Co. Galway,All years,Kilometres,14899
Average Kilometres Travelled,2021,All owners,Up to 1000 cc,Diesel,Co. Kerry,All years,Kilometres,16189
Average Kilometres Travelled,2021,All owners,Up to 1000 cc,Diesel,Co. Kildare,All years,Kilometres,13257
Average Kilometres Travelled,2021,All owners,Up to 1000 cc,Diesel,Co. Kilkenny,All years,Kilometres,17141
Average Kilometres Travelled,2021,All owners,Up to 1000 cc,Diesel,Co. Laois,All years,Kilometres,6517
Average Kilometres Travelled,2021,All owners,Up to 1000 cc,Diesel,Co. Leitrim,All years,Kilometres,0
Average Kilometres Travelled,2021,All owners,Up to 1000 cc,Diesel,Co. Limerick,All years,Kilometres,13698
Average Kilometres Travelled,2021,All owners,Up to 1000 cc,Diesel,Co. Longford,All years,Kilometres,23052
Average Kilometres Travelled,2021,All owners,Up to 1000 cc,Diesel,Co. Louth,All years,Kilometres,16048
Average Kilometres Travelled,2021,All owners,Up to 1000 cc,Diesel,Co. Mayo,All years,Kilometres,17354
Average Kilometres Travelled,2021,All owners,Up to 1000 cc,Diesel,Co. Meath,All years,Kilometres,16571
Average Kilometres Travelled,2021,All owners,Up to 1000 cc,Diesel,Co. Monaghan,All years,Kilometres,13949
Average Kilometres Travelled,2021,All owners,Up to 1000 cc,Diesel,Co. Offaly,All years,Kilometres,23028
Average Kilometres Travelled,2021,All owners,Up to 1000 cc,Diesel,Co. Roscommon,All years,Kilometres,12220
Average Kilometres Travelled,2021,All owners,Up to 1000 cc,Diesel,Co. Sligo,All years,Kilometres,0
Average Kilometres Travelled,2021,All owners,Up to 1000 cc,Diesel,Co. Tipperary,All years,Kilometres,20362
Average Kilometres Travelled,2021,All owners,Up to 1000 cc,Diesel,Co. Waterford,All years,Kilometres,13658
Average Kilometres Travelled,2021,All owners,Up to 1000 cc,Diesel,Co. Westmeath,All years,Kilometres,15603
Average Kilometres Travelled,2021,All owners,Up to 1000 cc,Diesel,Co. Wexford,All years,Kilometres,12325
Average Kilometres Travelled,2021,All owners,Up to 1000 cc,Diesel,Co. Wicklow,All years,Kilometres,11503
Average Kilometres Travelled,2021,All owners,Up to 1000 cc,Other fuel types,Co. Carlow,All years,Kilometres,11925
Average Kilometres Travelled,2021,All owners,Up to 1000 cc,Other fuel types,Co. Cavan,All years,Kilometres,11902
Average Kilometres Travelled,2021,All owners,Up to 1000 cc,Other fuel types,Co. Clare,All years,Kilometres,11974
Average Kilometres Travelled,2021,All owners,Up to 1000 cc,Other fuel types,Co. Cork,All years,Kilometres,11458
Average Kilometres Travelled,2021,All owners,Up to 1000 cc,Other fuel types,Co. Donegal,All years,Kilometres,11465
Average Kilometres Travelled,2021,All owners,Up to 1000 cc,Other fuel types,Co. Dublin,All years,Kilometres,11234
Average Kilometres Travelled,2021,All owners,Up to 1000 cc,Other fuel types,Co. Galway,All years,Kilometres,11560
Average Kilometres Travelled,2021,All owners,Up to 1000 cc,Other fuel types,Co. Kerry,All years,Kilometres,11830
Average Kilometres Travelled,2021,All owners,Up to 1000 cc,Other fuel types,Co. Kildare,All years,Kilometres,11615
Average Kilometres Travelled,2021,All owners,Up to 1000 cc,Other fuel types,Co. Kilkenny,All years,Kilometres,11900
Average Kilometres Travelled,2021,All owners,Up to 1000 cc,Other fuel types,Co. Laois,All years,Kilometres,12097
Average Kilometres Travelled,2021,All owners,Up to 1000 cc,Other fuel types,Co. Leitrim,All years,Kilometres,12405
Average Kilometres Travelled,2021,All owners,Up to 1000 cc,Other fuel types,Co. Limerick,All years,Kilometres,11634
Average Kilometres Travelled,2021,All owners,Up to 1000 cc,Other fuel types,Co. Longford,All years,Kilometres,11372
Average Kilometres Travelled,2021,All owners,Up to 1000 cc,Other fuel types,Co. Louth,All years,Kilometres,11605
Average Kilometres Travelled,2021,All owners,Up to 1000 cc,Other fuel types,Co. Mayo,All years,Kilometres,11672
Average Kilometres Travelled,2021,All owners,Up to 1000 cc,Other fuel types,Co. Meath,All years,Kilometres,11658
Average Kilometres Travelled,2021,All owners,Up to 1000 cc,Other fuel types,Co. Monaghan,All years,Kilometres,11303
Average Kilometres Travelled,2021,All owners,Up to 1000 cc,Other fuel types,Co. Offaly,All years,Kilometres,10991
Average Kilometres Travelled,2021,All owners,Up to 1000 cc,Other fuel types,Co. Roscommon,All years,Kilometres,12153
Average Kilometres Travelled,2021,All owners,Up to 1000 cc,Other fuel types,Co. Sligo,All years,Kilometres,11385
Average Kilometres Travelled,2021,All owners,Up to 1000 cc,Other fuel types,Co. Tipperary,All years,Kilometres,11677
Average Kilometres Travelled,2021,All owners,Up to 1000 cc,Other fuel types,Co. Waterford,All years,Kilometres,11368
Average Kilometres Travelled,2021,All owners,Up to 1000 cc,Other fuel types,Co. Westmeath,All years,Kilometres,11913
Average Kilometres Travelled,2021,All owners,Up to 1000 cc,Other fuel types,Co. Wexford,All years,Kilometres,11686
Average Kilometres Travelled,2021,All owners,Up to 1000 cc,Other fuel types,Co. Wicklow,All years,Kilometres,11545
Average Kilometres Travelled,2021,All owners,1001 - 1200 cc,Petrol,Co. Carlow,All years,Kilometres,10442
Average Kilometres Travelled,2021,All owners,1001 - 1200 cc,Petrol,Co. Cavan,All years,Kilometres,10827
Average Kilometres Travelled,2021,All owners,1001 - 1200 cc,Petrol,Co. Clare,All years,Kilometres,10889
Average Kilometres Travelled,2021,All owners,1001 - 1200 cc,Petrol,Co. Cork,All years,Kilometres,9922
Average Kilometres Travelled,2021,All owners,1001 - 1200 cc,Petrol,Co. Donegal,All years,Kilometres,10924
Average Kilometres Travelled,2021,All owners,1001 - 1200 cc,Petrol,Co. Dublin,All years,Kilometres,8156
Average Kilometres Travelled,2021,All owners,1001 - 1200 cc,Petrol,Co. Galway,All years,Kilometres,10280
Average Kilometres Travelled,2021,All owners,1001 - 1200 cc,Petrol,Co. Kerry,All years,Kilometres,10493
Average Kilometres Travelled,2021,All owners,1001 - 1200 cc,Petrol,Co. Kildare,All years,Kilometres,10310
Average Kilometres Travelled,2021,All owners,1001 - 1200 cc,Petrol,Co. Kilkenny,All years,Kilometres,10118
Average Kilometres Travelled,2021,All owners,1001 - 1200 cc,Petrol,Co. Laois,All years,Kilometres,10469
Average Kilometres Travelled,2021,All owners,1001 - 1200 cc,Petrol,Co. Leitrim,All years,Kilometres,11132
Average Kilometres Travelled,2021,All owners,1001 - 1200 cc,Petrol,Co. Limerick,All years,Kilometres,10272
Average Kilometres Travelled,2021,All owners,1001 - 1200 cc,Petrol,Co. Longford,All years,Kilometres,10507
Average Kilometres Travelled,2021,All owners,1001 - 1200 cc,Petrol,Co. Louth,All years,Kilometres,9887
Average Kilometres Travelled,2021,All owners,1001 - 1200 cc,Petrol,Co. Mayo,All years,Kilometres,10708
Average Kilometres Travelled,2021,All owners,1001 - 1200 cc,Petrol,Co. Meath,All years,Kilometres,10600
Average Kilometres Travelled,2021,All owners,1001 - 1200 cc,Petrol,Co. Monaghan,All years,Kilometres,10743
Average Kilometres Travelled,2021,All owners,1001 - 1200 cc,Petrol,Co. Offaly,All years,Kilometres,10713
Average Kilometres Travelled,2021,All owners,1001 - 1200 cc,Petrol,Co. Roscommon,All years,Kilometres,11979
Average Kilometres Travelled,2021,All owners,1001 - 1200 cc,Petrol,Co. Sligo,All years,Kilometres,10141
Average Kilometres Travelled,2021,All owners,1001 - 1200 cc,Petrol,Co. Tipperary,All years,Kilometres,10927
Average Kilometres Travelled,2021,All owners,1001 - 1200 cc,Petrol,Co. Waterford,All years,Kilometres,10187
Average Kilometres Travelled,2021,All owners,1001 - 1200 cc,Petrol,Co. Westmeath,All years,Kilometres,10732
Average Kilometres Travelled,2021,All owners,1001 - 1200 cc,Petrol,Co. Wexford,All years,Kilometres,10601
Average Kilometres Travelled,2021,All owners,1001 - 1200 cc,Petrol,Co. Wicklow,All years,Kilometres,10016
Average Kilometres Travelled,2021,All owners,1001 - 1200 cc,Diesel,Co. Carlow,All years,Kilometres,14149
Average Kilometres Travelled,2021,All owners,1001 - 1200 cc,Diesel,Co. Cavan,All years,Kilometres,15634
Average Kilometres Travelled,2021,All owners,1001 - 1200 cc,Diesel,Co. Clare,All years,Kilometres,14935
Average Kilometres Travelled,2021,All owners,1001 - 1200 cc,Diesel,Co. Cork,All years,Kilometres,13786
Average Kilometres Travelled,2021,All owners,1001 - 1200 cc,Diesel,Co. Donegal,All years,Kilometres,15074
Average Kilometres Travelled,2021,All owners,1001 - 1200 cc,Diesel,Co. Dublin,All years,Kilometres,11222
Average Kilometres Travelled,2021,All owners,1001 - 1200 cc,Diesel,Co. Galway,All years,Kilometres,14557
Average Kilometres Travelled,2021,All owners,1001 - 1200 cc,Diesel,Co. Kerry,All years,Kilometres,15011
Average Kilometres Travelled,2021,All owners,1001 - 1200 cc,Diesel,Co. Kildare,All years,Kilometres,14285
Average Kilometres Travelled,2021,All owners,1001 - 1200 cc,Diesel,Co. Kilkenny,All years,Kilometres,16469
Average Kilometres Travelled,2021,All owners,1001 - 1200 cc,Diesel,Co. Laois,All years,Kilometres,15412
Average Kilometres Travelled,2021,All owners,1001 - 1200 cc,Diesel,Co. Leitrim,All years,Kilometres,15286
Average Kilometres Travelled,2021,All owners,1001 - 1200 cc,Diesel,Co. Limerick,All years,Kilometres,14779
Average Kilometres Travelled,2021,All owners,1001 - 1200 cc,Diesel,Co. Longford,All years,Kilometres,16631
Average Kilometres Travelled,2021,All owners,1001 - 1200 cc,Diesel,Co. Louth,All years,Kilometres,14897
Average Kilometres Travelled,2021,All owners,1001 - 1200 cc,Diesel,Co. Mayo,All years,Kilometres,15204
Average Kilometres Travelled,2021,All owners,1001 - 1200 cc,Diesel,Co. Meath,All years,Kilometres,15008
Average Kilometres Travelled,2021,All owners,1001 - 1200 cc,Diesel,Co. Monaghan,All years,Kilometres,15771
Average Kilometres Travelled,2021,All owners,1001 - 1200 cc,Diesel,Co. Offaly,All years,Kilometres,15479
Average Kilometres Travelled,2021,All owners,1001 - 1200 cc,Diesel,Co. Roscommon,All years,Kilometres,15638
Average Kilometres Travelled,2021,All owners,1001 - 1200 cc,Diesel,Co. Sligo,All years,Kilometres,16124
Average Kilometres Travelled,2021,All owners,1001 - 1200 cc,Diesel,Co. Tipperary,All years,Kilometres,15654
Average Kilometres Travelled,2021,All owners,1001 - 1200 cc,Diesel,Co. Waterford,All years,Kilometres,14247
Average Kilometres Travelled,2021,All owners,1001 - 1200 cc,Diesel,Co. Westmeath,All years,Kilometres,15690
Average Kilometres Travelled,2021,All owners,1001 - 1200 cc,Diesel,Co. Wexford,All years,Kilometres,15005
