Statistic Label,Year,Type of Ownership,Engine Capacity cc,Fuel Type,County of Ownership,Year of Registration,UNIT,VALUE
Vehicle Population,2018,All owners,1401 - 1600 cc,Diesel,Co. Carlow,All years,Number,6881
Vehicle Population,2018,All owners,1401 - 1600 cc,Diesel,Co. Cavan,All years,Number,7969
Vehicle Population,2018,All owners,1401 - 1600 cc,Diesel,Co. Clare,All years,Number,13659
Vehicle Population,2018,All owners,1401 - 1600 cc,Diesel,Co. Cork,All years,Number,52972
Vehicle Population,2018,All owners,1401 - 1600 cc,Diesel,Co. Donegal,All years,Number,14643
Vehicle Population,2018,All owners,1401 - 1600 cc,Diesel,Co. Dublin,All years,Number,88739
Vehicle Population,2018,All owners,1401 - 1600 cc,Diesel,Co. Galway,All years,Number,24375
Vehicle Population,2018,All owners,1401 - 1600 cc,Diesel,Co. Kerry,All years,Number,15197
Vehicle Population,2018,All owners,1401 - 1600 cc,Diesel,Co. Kildare,All years,Number,22962
Vehicle Population,2018,All owners,1401 - 1600 cc,Diesel,Co. Kilkenny,All years,Number,10824
Vehicle Population,2018,All owners,1401 - 1600 cc,Diesel,Co. Laois,All years,Number,8987
Vehicle Population,2018,All owners,1401 - 1600 cc,Diesel,Co. Leitrim,All years,Number,3430
Vehicle Population,2018,All owners,1401 - 1600 cc,Diesel,Co. Limerick,All years,Number,19158
Vehicle Population,2018,All owners,1401 - 1600 cc,Diesel,Co. Longford,All years,Number,3898
Vehicle Population,2018,All owners,1401 - 1600 cc,Diesel,Co. Louth,All years,Number,12590
Vehicle Population,2018,All owners,1401 - 1600 cc,Diesel,Co. Mayo,All years,Number,13427
Vehicle Population,2018,All owners,1401 - 1600 cc,Diesel,Co. Meath,All years,Number,21168
Vehicle Population,2018,All owners,1401 - 1600 cc,Diesel,Co. Monaghan,All years,Number,6316
Vehicle Population,2018,All owners,1401 - 1600 cc,Diesel,Co. Offaly,All years,Number,8883
Vehicle Population,2018,All owners,1401 - 1600 cc,Diesel,Co. Roscommon,All years,Number,8411
Vehicle Population,2018,All owners,1401 - 1600 cc,Diesel,Co. Sligo,All years,Number,6163
Vehicle Population,2018,All owners,1401 - 1600 cc,Diesel,Co. Tipperary,All years,Number,18862
Vehicle Population,2018,All owners,1401 - 1600 cc,Diesel,Co. Waterford,All years,Number,12753
Vehicle Population,2018,All owners,1401 - 1600 cc,Diesel,Co. Westmeath,All years,Number,10196
Vehicle Population,2018,All owners,1401 - 1600 cc,Diesel,Co. Wexford,All years,Number,19196
Vehicle Population,2018,All owners,1401 - 1600 cc,Diesel,Co. Wicklow,All years,Number,13033
Vehicle Population,2018,All owners,1401 - 1600 cc,Other fuel types,Co. Carlow,All years,Number,54
