Statistic Label,Week,Mode of Transport,UNIT,VALUE
Passenger Journeys,2020 Week 51,"Bus, excluding Dublin Metro",Number,444680
Passenger Journeys,2020 Week 51,Rail,Number,322484
Passenger Journeys,2020 Week 52,Dublin Metro Bus,Number,1076018
Passenger Journeys,2020 Week 52,"Bus, excluding Dublin Metro",Number,272410
Passenger Journeys,2020 Week 52,Rail,Number,184982
Passenger Journeys,2020 Week 53,Dublin Metro Bus,Number,707458
Passenger Journeys,2020 Week 53,"Bus, excluding Dublin Metro",Number,170366
Passenger Journeys,2020 Week 53,Rail,Number,101951
Passenger Journeys,2021 Week 01,Dublin Metro Bus,Number,747912
Passenger Journeys,2021 Week 01,"Bus, excluding Dublin Metro",Number,184151
Passenger Journeys,2021 Week 01,Rail,Number,107227
Passenger Journeys,2021 Week 02,Dublin Metro Bus,Number,735000
Passenger Journeys,2021 Week 02,"Bus, excluding Dublin Metro",Number,184333
Passenger Journeys,2021 Week 02,Rail,Number,90529
Passenger Journeys,2021 Week 03,Dublin Metro Bus,Number,731273
Passenger Journeys,2021 Week 03,"Bus, excluding Dublin Metro",Number,184441
Passenger Journeys,2021 Week 03,Rail,Number,93456
Passenger Journeys,2021 Week 04,Dublin Metro Bus,Number,742813
Passenger Journeys,2021 Week 04,"Bus, excluding Dublin Metro",Number,189266
Passenger Journeys,2021 Week 04,Rail,Number,93322
Passenger Journeys,2021 Week 05,Dublin Metro Bus,Number,791189
Passenger Journeys,2021 Week 05,"Bus, excluding Dublin Metro",Number,201849
Passenger Journeys,2021 Week 05,Rail,Number,105426
Passenger Journeys,2021 Week 06,Dublin Metro Bus,Number,775491
Passenger Journeys,2021 Week 06,"Bus, excluding Dublin Metro",Number,198989
Passenger Journeys,2021 Week 06,Rail,Number,96338
Passenger Journeys,2021 Week 07,Dublin Metro Bus,Number,849801
Passenger Journeys,2021 Week 07,"Bus, excluding Dublin Metro",Number,210651
Passenger Journeys,2021 Week 07,Rail,Number,114588
Passenger Journeys,2021 Week 08,Dublin Metro Bus,Number,884911
Passenger Journeys,2021 Week 08,"Bus, excluding Dublin Metro",Number,218084
Passenger Journeys,2021 Week 08,Rail,Number,127685
Passenger Journeys,2021 Week 09,Dublin Metro Bus,Number,947256
Passenger Journeys,2021 Week 09,"Bus, excluding Dublin Metro",Number,240137
Passenger Journeys,2021 Week 09,Rail,Number,142782
Passenger Journeys,2021 Week 10,Dublin Metro Bus,Number,945236
Passenger Journeys,2021 Week 10,"Bus, excluding Dublin Metro",Number,239123
Passenger Journeys,2021 Week 10,Rail,Number,134132
Passenger Journeys,2021 Week 11,Dublin Metro Bus,Number,963568
Passenger Journeys,2021 Week 11,"Bus, excluding Dublin Metro",Number,246289
Passenger Journeys,2021 Week 11,Rail,Number,144852
Passenger Journeys,2021 Week 12,Dublin Metro Bus,Number,1015358
Passenger Journeys,2021 Week 12,"Bus, excluding Dublin Metro",Number,260235
