Statistic Label,Month,Type of Vehicle Registration,Type of Fuel,UNIT,VALUE
New Vehicles Licensed for the First Time,2015 March,New Goods Vehicles,Petrol or Diesel plug-in hybrid electric,Number,0
New Vehicles Licensed for the First Time,2015 March,New Goods Vehicles,Diesel and electric hybrid,Number,0
New Vehicles Licensed for the First Time,2015 March,New Tractors,All fuel types,Number,223
New Vehicles Licensed for the First Time,2015 March,New Tractors,Petrol,Number,0
New Vehicles Licensed for the First Time,2015 March,New Tractors,Diesel,Number,223
New Vehicles Licensed for the First Time,2015 March,New Tractors,Other fuel types,Number,0
New Vehicles Licensed for the First Time,2015 March,New Tractors,Petrol and electric hybrid,Number,0
New Vehicles Licensed for the First Time,2015 March,New Tractors,Electric,Number,0
New Vehicles Licensed for the First Time,2015 March,New Tractors,Petrol or Diesel plug-in hybrid electric,Number,0
New Vehicles Licensed for the First Time,2015 March,New Tractors,Diesel and electric hybrid,Number,0
New Vehicles Licensed for the First Time,2015 March,New Agriculture Tractors,All fuel types,Number,
New Vehicles Licensed for the First Time,2015 March,New Agriculture Tractors,Petrol,Number,
New Vehicles Licensed for the First Time,2015 March,New Agriculture Tractors,Diesel,Number,
New Vehicles Licensed for the First Time,2015 March,New Agriculture Tractors,Other fuel types,Number,
New Vehicles Licensed for the First Time,2015 March,New Agriculture Tractors,Petrol and electric hybrid,Number,
New Vehicles Licensed for the First Time,2015 March,New Agriculture Tractors,Electric,Number,
New Vehicles Licensed for the First Time,2015 March,New Agriculture Tractors,Petrol or Diesel plug-in hybrid electric,Number,
New Vehicles Licensed for the First Time,2015 March,New Agriculture Tractors,Diesel and electric hybrid,Number,
New Vehicles Licensed for the First Time,2015 March,New General Haulage Tractors,All fuel types,Number,
New Vehicles Licensed for the First Time,2015 March,New General Haulage Tractors,Petrol,Number,
New Vehicles Licensed for the First Time,2015 March,New General Haulage Tractors,Diesel,Number,
New Vehicles Licensed for the First Time,2015 March,New General Haulage Tractors,Other fuel types,Number,
New Vehicles Licensed for the First Time,2015 March,New General Haulage Tractors,Petrol and electric hybrid,Number,
New Vehicles Licensed for the First Time,2015 March,New General Haulage Tractors,Electric,Number,
New Vehicles Licensed for the First Time,2015 March,New General Haulage Tractors,Petrol or Diesel plug-in hybrid electric,Number,
New Vehicles Licensed for the First Time,2015 March,New General Haulage Tractors,Diesel and electric hybrid,Number,
New Vehicles Licensed for the First Time,2015 March,New Motor Cycles,All fuel types,Number,139
New Vehicles Licensed for the First Time,2015 March,New Motor Cycles,Petrol,Number,138
New Vehicles Licensed for the First Time,2015 March,New Motor Cycles,Diesel,Number,0
New Vehicles Licensed for the First Time,2015 March,New Motor Cycles,Other fuel types,Number,0
New Vehicles Licensed for the First Time,2015 March,New Motor Cycles,Petrol and electric hybrid,Number,0
New Vehicles Licensed for the First Time,2015 March,New Motor Cycles,Electric,Number,1
New Vehicles Licensed for the First Time,2015 March,New Motor Cycles,Petrol or Diesel plug-in hybrid electric,Number,0
New Vehicles Licensed for the First Time,2015 March,New Motor Cycles,Diesel and electric hybrid,Number,0
New Vehicles Licensed for the First Time,2015 March,New Exempt Vehicles,All fuel types,Number,598
New Vehicles Licensed for the First Time,2015 March,New Exempt Vehicles,Petrol,Number,121
New Vehicles Licensed for the First Time,2015 March,New Exempt Vehicles,Diesel,Number,470
New Vehicles Licensed for the First Time,2015 March,New Exempt Vehicles,Other fuel types,Number,0
New Vehicles Licensed for the First Time,2015 March,New Exempt Vehicles,Petrol and electric hybrid,Number,7
New Vehicles Licensed for the First Time,2015 March,New Exempt Vehicles,Electric,Number,0
New Vehicles Licensed for the First Time,2015 March,New Exempt Vehicles,Petrol or Diesel plug-in hybrid electric,Number,0
New Vehicles Licensed for the First Time,2015 March,New Exempt Vehicles,Diesel and electric hybrid,Number,0
New Vehicles Licensed for the First Time,2015 March,New Public Service Vehicles,All fuel types,Number,101
New Vehicles Licensed for the First Time,2015 March,New Public Service Vehicles,Petrol,Number,1
New Vehicles Licensed for the First Time,2015 March,New Public Service Vehicles,Diesel,Number,99
New Vehicles Licensed for the First Time,2015 March,New Public Service Vehicles,Other fuel types,Number,0
